Cacheblock,op_pair_count,temperature
131f2c0,2,Cold (1-2 pairs)
131f300,1,Cold (1-2 pairs)
131f440,1,Cold (1-2 pairs)
1321680,1,Cold (1-2 pairs)
13216c0,1,Cold (1-2 pairs)
132bd40,1,Cold (1-2 pairs)
132bd80,1,Cold (1-2 pairs)
1334ec0,1,Cold (1-2 pairs)
1334f00,1,Cold (1-2 pairs)
133b2c0,1,Cold (1-2 pairs)
133b4c0,1,Cold (1-2 pairs)
133b540,4,Warm (3-10 pairs)
133c500,1,Cold (1-2 pairs)
133ca80,1,Cold (1-2 pairs)
133e440,1,Cold (1-2 pairs)
1342e40,4,Warm (3-10 pairs)
1345840,1,Cold (1-2 pairs)
1345a80,1,Cold (1-2 pairs)
1345e40,1,Cold (1-2 pairs)
1346f00,2,Cold (1-2 pairs)
1346f40,1,Cold (1-2 pairs)
1346f80,2,Cold (1-2 pairs)
1355300,8,Warm (3-10 pairs)
1355d40,1,Cold (1-2 pairs)
1355d80,1,Cold (1-2 pairs)
1356040,1,Cold (1-2 pairs)
1356240,1,Cold (1-2 pairs)
1356a00,2,Cold (1-2 pairs)
1356a40,2,Cold (1-2 pairs)
135cfc0,6,Warm (3-10 pairs)
135d140,15,Hot (11+ pairs)
135d440,1,Cold (1-2 pairs)
135d500,1,Cold (1-2 pairs)
135d7c0,1,Cold (1-2 pairs)
135d800,1,Cold (1-2 pairs)
135d900,5,Warm (3-10 pairs)
135db80,1,Cold (1-2 pairs)
1361a00,5,Warm (3-10 pairs)
1361a40,2,Cold (1-2 pairs)
1361b00,20,Hot (11+ pairs)
1361c40,5,Warm (3-10 pairs)
1362000,1,Cold (1-2 pairs)
1362100,24,Hot (11+ pairs)
1362140,3,Warm (3-10 pairs)
13621c0,2,Cold (1-2 pairs)
1362200,2,Cold (1-2 pairs)
1362280,6,Warm (3-10 pairs)
1362340,27,Hot (11+ pairs)
1362380,1,Cold (1-2 pairs)
1362bc0,1,Cold (1-2 pairs)
1363300,1,Cold (1-2 pairs)
13637c0,2,Cold (1-2 pairs)
1376480,1,Cold (1-2 pairs)
13764c0,3,Warm (3-10 pairs)
1377440,1,Cold (1-2 pairs)
137cbc0,1,Cold (1-2 pairs)
137ccc0,1,Cold (1-2 pairs)
137cd00,1,Cold (1-2 pairs)
137f440,1,Cold (1-2 pairs)
137f500,2,Cold (1-2 pairs)
137f540,6,Warm (3-10 pairs)
137f580,1,Cold (1-2 pairs)
137f6c0,3,Warm (3-10 pairs)
137f780,1,Cold (1-2 pairs)
1386e40,1,Cold (1-2 pairs)
138e300,1,Cold (1-2 pairs)
1390d00,1,Cold (1-2 pairs)
1396e00,1,Cold (1-2 pairs)
1396e40,1,Cold (1-2 pairs)
1397000,1,Cold (1-2 pairs)
1398bc0,1,Cold (1-2 pairs)
1398c00,1,Cold (1-2 pairs)
1398c40,1,Cold (1-2 pairs)
1399680,1,Cold (1-2 pairs)
139db40,1,Cold (1-2 pairs)
139db80,3,Warm (3-10 pairs)
139e240,48,Hot (11+ pairs)
139e280,30,Hot (11+ pairs)
139e2c0,8,Warm (3-10 pairs)
139e380,4,Warm (3-10 pairs)
139e3c0,2,Cold (1-2 pairs)
139e680,3,Warm (3-10 pairs)
139e6c0,2,Cold (1-2 pairs)
139ea80,1,Cold (1-2 pairs)
13a4f00,1,Cold (1-2 pairs)
13b2cc0,1,Cold (1-2 pairs)
13b3280,1,Cold (1-2 pairs)
13c0340,1,Cold (1-2 pairs)
13c05c0,1,Cold (1-2 pairs)
13c0680,4,Warm (3-10 pairs)
13c4400,1,Cold (1-2 pairs)
13c4440,1,Cold (1-2 pairs)
13c4480,1,Cold (1-2 pairs)
13c44c0,1,Cold (1-2 pairs)
13c4500,1,Cold (1-2 pairs)
13c4540,1,Cold (1-2 pairs)
13c4580,1,Cold (1-2 pairs)
13c45c0,1,Cold (1-2 pairs)
13c4600,1,Cold (1-2 pairs)
13c4680,1,Cold (1-2 pairs)
13c6740,2,Cold (1-2 pairs)
13c7f40,2,Cold (1-2 pairs)
13c9bc0,1,Cold (1-2 pairs)
13c9e00,9,Warm (3-10 pairs)
13c9f00,6,Warm (3-10 pairs)
13cbc40,2,Cold (1-2 pairs)
13cbdc0,2,Cold (1-2 pairs)
13cbe00,2,Cold (1-2 pairs)
13cbe40,2,Cold (1-2 pairs)
13cebc0,1,Cold (1-2 pairs)
13cec00,2,Cold (1-2 pairs)
13cfe40,1,Cold (1-2 pairs)
13cfec0,1,Cold (1-2 pairs)
13cff40,1,Cold (1-2 pairs)
13d0140,1,Cold (1-2 pairs)
13d78c0,1,Cold (1-2 pairs)
13d7900,1,Cold (1-2 pairs)
13d8680,1,Cold (1-2 pairs)
13d8980,2,Cold (1-2 pairs)
13d9700,1,Cold (1-2 pairs)
13da9c0,2,Cold (1-2 pairs)
13dfdc0,1,Cold (1-2 pairs)
13e2940,1,Cold (1-2 pairs)
13e2980,1,Cold (1-2 pairs)
13e29c0,1,Cold (1-2 pairs)
13e2c40,1,Cold (1-2 pairs)
13e3cc0,1,Cold (1-2 pairs)
13e3d00,1,Cold (1-2 pairs)
13e8200,1,Cold (1-2 pairs)
13e8d80,2,Cold (1-2 pairs)
13ede00,1,Cold (1-2 pairs)
13efc00,1,Cold (1-2 pairs)
13efc40,2,Cold (1-2 pairs)
13f0280,3,Warm (3-10 pairs)
13f0740,4,Warm (3-10 pairs)
13f0800,1,Cold (1-2 pairs)
13f08c0,2,Cold (1-2 pairs)
13f0c00,3,Warm (3-10 pairs)
13f0c40,1,Cold (1-2 pairs)
13f0d80,1,Cold (1-2 pairs)
13f0e80,1,Cold (1-2 pairs)
13f0ec0,1,Cold (1-2 pairs)
13f1780,1,Cold (1-2 pairs)
13f17c0,2,Cold (1-2 pairs)
13f1800,1,Cold (1-2 pairs)
