Cacheblock,op_pair_count,temperature
7f71f4001b40,1,Cold (1-2 pairs)
7f71f4001b80,3,Warm (3-10 pairs)
7f71f4001bc0,2,Cold (1-2 pairs)
7f71f4002100,2,Cold (1-2 pairs)
7f71f4002140,63,Hot (11+ pairs)
7f71f4002180,2,Cold (1-2 pairs)
7f71f4002240,15,Hot (11+ pairs)
7f71f4002280,5,Warm (3-10 pairs)
7f71f40022c0,1,Cold (1-2 pairs)
7f71f4002300,12,Hot (11+ pairs)
7f71f4002340,12,Hot (11+ pairs)
7f71f4002380,6,Warm (3-10 pairs)
7f71f4002400,2,Cold (1-2 pairs)
7f71f4002680,10,Warm (3-10 pairs)
7f71f40026c0,4,Warm (3-10 pairs)
7f71f4002700,21,Hot (11+ pairs)
7f71f4002740,50,Hot (11+ pairs)
7f71f4002780,5,Warm (3-10 pairs)
7f71f40027c0,1,Cold (1-2 pairs)
7f71f4002800,2,Cold (1-2 pairs)
7f71f40028c0,5,Warm (3-10 pairs)
7f71f4002900,16,Hot (11+ pairs)
7f71f4002940,11,Hot (11+ pairs)
7f71f4002980,19,Hot (11+ pairs)
7f71f40029c0,3,Warm (3-10 pairs)
7f71f4002a00,2,Cold (1-2 pairs)
7f71f4002d40,2,Cold (1-2 pairs)
7f71f4002d80,3,Warm (3-10 pairs)
7f71f4002dc0,25,Hot (11+ pairs)
7f71f4002e00,12,Hot (11+ pairs)
7f71f4002e40,14,Hot (11+ pairs)
7f71f4003040,4,Warm (3-10 pairs)
7f71f4003080,51,Hot (11+ pairs)
7f71f40030c0,10,Warm (3-10 pairs)
7f71f4003100,1,Cold (1-2 pairs)
7f71f4003140,2,Cold (1-2 pairs)
7f71f4003180,6,Warm (3-10 pairs)
7f71f40031c0,7,Warm (3-10 pairs)
7f71f4003200,2,Cold (1-2 pairs)
7f71f4003240,33,Hot (11+ pairs)
7f71f4003280,9,Warm (3-10 pairs)
7f71f40032c0,16,Hot (11+ pairs)
7f71f4003300,13,Hot (11+ pairs)
7f71f4003400,7,Warm (3-10 pairs)
7f71f4003440,15,Hot (11+ pairs)
7f71f4003480,7,Warm (3-10 pairs)
7f71f40034c0,5,Warm (3-10 pairs)
7f71f4003500,36,Hot (11+ pairs)
7f71f4003540,22,Hot (11+ pairs)
7f71f4003580,25,Hot (11+ pairs)
7f71f40035c0,5,Warm (3-10 pairs)
7f71f4003640,1,Cold (1-2 pairs)
7f71f4003680,4,Warm (3-10 pairs)
7f71f40036c0,5,Warm (3-10 pairs)
7f71f4003700,5,Warm (3-10 pairs)
7f71f4003740,4,Warm (3-10 pairs)
7f71f40038c0,4,Warm (3-10 pairs)
7f71f4003900,143,Hot (11+ pairs)
7f71f4003940,2,Cold (1-2 pairs)
7f71f40039c0,49,Hot (11+ pairs)
7f71f4003c00,9,Warm (3-10 pairs)
7f71f4003c40,1,Cold (1-2 pairs)
7f71f4003cc0,2,Cold (1-2 pairs)
7f71f4003ec0,1,Cold (1-2 pairs)
7f71f4003f80,3,Warm (3-10 pairs)
7f71f40041c0,1,Cold (1-2 pairs)
7f71f4004200,75,Hot (11+ pairs)
7f71f4004240,9,Warm (3-10 pairs)
7f71f4004280,10,Warm (3-10 pairs)
7f71f40042c0,11,Hot (11+ pairs)
7f71f4004400,23,Hot (11+ pairs)
7f71f4004440,9,Warm (3-10 pairs)
7f71f4004540,1,Cold (1-2 pairs)
7f71f40046c0,2,Cold (1-2 pairs)
7f71f4004700,1,Cold (1-2 pairs)
7f71f4004a80,1,Cold (1-2 pairs)
7f71f4004d40,2,Cold (1-2 pairs)
7f71f4004d80,5,Warm (3-10 pairs)
7f71f4004dc0,18,Hot (11+ pairs)
7f71f4004e00,21,Hot (11+ pairs)
7f71f4004e40,34,Hot (11+ pairs)
7f71f4004ec0,3,Warm (3-10 pairs)
7f71f4004f80,2,Cold (1-2 pairs)
7f71f4004fc0,1,Cold (1-2 pairs)
7f71f4005080,86,Hot (11+ pairs)
7f71f40050c0,11,Hot (11+ pairs)
7f71f4005100,40,Hot (11+ pairs)
7f71f4005140,5,Warm (3-10 pairs)
7f71f4005280,6,Warm (3-10 pairs)
7f71f40052c0,8,Warm (3-10 pairs)
7f71f4005300,4,Warm (3-10 pairs)
7f71f4005340,2,Cold (1-2 pairs)
7f71f4005380,4,Warm (3-10 pairs)
7f71f40053c0,1,Cold (1-2 pairs)
7f71f4005400,1,Cold (1-2 pairs)
7f71f4005480,1,Cold (1-2 pairs)
7f71f4005500,6,Warm (3-10 pairs)
7f71f4005540,1,Cold (1-2 pairs)
7f71f4005840,2,Cold (1-2 pairs)
7f71f4005880,5,Warm (3-10 pairs)
7f71f40058c0,3,Warm (3-10 pairs)
7f71f4005900,7,Warm (3-10 pairs)
7f71f4005940,8,Warm (3-10 pairs)
7f71f4005980,6,Warm (3-10 pairs)
7f71f40059c0,1,Cold (1-2 pairs)
7f71f4005a40,2,Cold (1-2 pairs)
7f71f4005a80,4,Warm (3-10 pairs)
7f71f4005ac0,13,Hot (11+ pairs)
7f71f4005b40,3,Warm (3-10 pairs)
7f71f4005b80,7,Warm (3-10 pairs)
7f71f4005bc0,2,Cold (1-2 pairs)
7f71f4005c00,4,Warm (3-10 pairs)
7f71f4005c40,12,Hot (11+ pairs)
7f71f4005c80,2,Cold (1-2 pairs)
7f71f4005cc0,1,Cold (1-2 pairs)
7f71f4005d40,12,Hot (11+ pairs)
7f71f4005dc0,2,Cold (1-2 pairs)
7f71f4005e40,1,Cold (1-2 pairs)
7f71f40064c0,26,Hot (11+ pairs)
7f71f4006500,2,Cold (1-2 pairs)
7f71f400a4c0,1,Cold (1-2 pairs)
7f71f400a500,5,Warm (3-10 pairs)
7f71f400a740,1,Cold (1-2 pairs)
7f71f400a7c0,1,Cold (1-2 pairs)
7f71f400a8c0,1,Cold (1-2 pairs)
7f71f400a940,3,Warm (3-10 pairs)
7f71f400a980,1,Cold (1-2 pairs)
7f71f400aa00,7,Warm (3-10 pairs)
