Cacheblock,op_pair_count,temperature
7f99b31f3000,2,Cold (1-2 pairs)
7f99b348b840,1,Cold (1-2 pairs)
7f99b348bbc0,1,Cold (1-2 pairs)
7f99b348ccc0,11,Hot (11+ pairs)
7f99b348cd00,21,Hot (11+ pairs)
7f99b348cd40,13,Hot (11+ pairs)
7f99b348cd80,5,Warm (3-10 pairs)
7f99b348cec0,1,Cold (1-2 pairs)
7f99b348cf00,1,Cold (1-2 pairs)
7f99b3490640,9,Warm (3-10 pairs)
7f99b3490680,29,Hot (11+ pairs)
7f99b34906c0,1,Cold (1-2 pairs)
7f99b3490a40,2,Cold (1-2 pairs)
7f99b3490a80,1,Cold (1-2 pairs)
7f99b3490ac0,34,Hot (11+ pairs)
7f99b3490b00,18,Hot (11+ pairs)
7f99b3490b40,70,Hot (11+ pairs)
7f99b3490b80,7,Warm (3-10 pairs)
7f99b3490bc0,5,Warm (3-10 pairs)
7f99b3490e80,1,Cold (1-2 pairs)
7f99b3490f80,6,Warm (3-10 pairs)
7f99b3490fc0,28,Hot (11+ pairs)
7f99b3491000,12,Hot (11+ pairs)
7f99b3491040,31,Hot (11+ pairs)
7f99b3491080,10,Warm (3-10 pairs)
7f99b34910c0,65,Hot (11+ pairs)
7f99b3491100,55,Hot (11+ pairs)
7f99b3491140,8,Warm (3-10 pairs)
7f99b3491180,75,Hot (11+ pairs)
7f99b34911c0,12,Hot (11+ pairs)
7f99b3491200,4,Warm (3-10 pairs)
7f99b3491240,8,Warm (3-10 pairs)
7f99b3491280,23,Hot (11+ pairs)
7f99b34912c0,18,Hot (11+ pairs)
7f99b3491300,6,Warm (3-10 pairs)
7f99b3491340,9,Warm (3-10 pairs)
7f99b3491380,39,Hot (11+ pairs)
7f99b34913c0,16,Hot (11+ pairs)
7f99b3491400,47,Hot (11+ pairs)
7f99b3491440,11,Hot (11+ pairs)
7f99b34914c0,11,Hot (11+ pairs)
7f99b3491500,10,Warm (3-10 pairs)
7f99b3491540,15,Hot (11+ pairs)
7f99b3491580,13,Hot (11+ pairs)
7f99b34915c0,4,Warm (3-10 pairs)
7f99b3491600,11,Hot (11+ pairs)
7f99b3491640,25,Hot (11+ pairs)
7f99b3491680,23,Hot (11+ pairs)
7f99b34916c0,7,Warm (3-10 pairs)
7f99b3491700,4,Warm (3-10 pairs)
7f99b3491740,3,Warm (3-10 pairs)
7f99b3491780,32,Hot (11+ pairs)
7f99b34917c0,10,Warm (3-10 pairs)
7f99b3491800,46,Hot (11+ pairs)
7f99b3491840,48,Hot (11+ pairs)
