Cacheblock,op_pair_count,temperature
7ffda72053c0,2,Cold (1-2 pairs)
7ffda7208140,1,Cold (1-2 pairs)
7ffda7208840,1,Cold (1-2 pairs)
7ffda720c180,1,Cold (1-2 pairs)
7ffda720f9c0,1,Cold (1-2 pairs)
7ffda720ff80,1,Cold (1-2 pairs)
7ffda722a640,3,Warm (3-10 pairs)
7ffda722a8c0,2,Cold (1-2 pairs)
7ffda722b000,1,Cold (1-2 pairs)
7ffda72335c0,6,Warm (3-10 pairs)
7ffda72336c0,1,Cold (1-2 pairs)
7ffda7246680,2,Cold (1-2 pairs)
7ffda72467c0,1,Cold (1-2 pairs)
7ffda7246900,1,Cold (1-2 pairs)
7ffda7287100,8,Warm (3-10 pairs)
7ffda72acf00,1,Cold (1-2 pairs)
7ffda72afbc0,3,Warm (3-10 pairs)
7ffda72d47c0,4,Warm (3-10 pairs)
7ffda72d4c00,3,Warm (3-10 pairs)
7ffda72d81c0,3,Warm (3-10 pairs)
7ffda72d8200,2,Cold (1-2 pairs)
7ffda72d9980,4,Warm (3-10 pairs)
7ffda72e1ac0,5,Warm (3-10 pairs)
7ffda72e5fc0,2,Cold (1-2 pairs)
7ffda72e61c0,1,Cold (1-2 pairs)
7ffda72e6400,2,Cold (1-2 pairs)
7ffda72ecc40,1,Cold (1-2 pairs)
7ffda72ecd00,1,Cold (1-2 pairs)
7ffda7511040,50,Hot (11+ pairs)
7ffda7511080,6,Warm (3-10 pairs)
7ffda7511100,11,Hot (11+ pairs)
7ffda7511140,16,Hot (11+ pairs)
7ffda75111c0,9,Warm (3-10 pairs)
7ffda7511200,7,Warm (3-10 pairs)
7ffda7511a00,5,Warm (3-10 pairs)
7ffda7511b00,8,Warm (3-10 pairs)
7ffda7532d00,2,Cold (1-2 pairs)
7ffda7536640,1,Cold (1-2 pairs)
7ffda7539300,1,Cold (1-2 pairs)
7ffda753f900,5,Warm (3-10 pairs)
7ffda7543240,1,Cold (1-2 pairs)
7ffda7546840,2,Cold (1-2 pairs)
