Scarab gitrev: fbdb46e
Scarab started at Sun Mar 23 11:52:15 2025

Initialized Ramulator. 
Micro-op 1: 7f74c686fca9	Micro-op 2: 7f74c686fcaf
Micro-op 1: 7f74c686f547	Micro-op 2: 7f74c686fcd4
Micro-op 1: 7f74c686fcc0	Micro-op 2: 7f74c686fcd8
Micro-op 1: 7f74c686f547	Micro-op 2: 7f74c686fcde
Micro-op 1: 7f74c686fce8	Micro-op 2: 7f74c686fcec
Micro-op 1: 7f74c686f547	Micro-op 2: 7f74c686fcf0
Micro-op 1: 7f74c686fcac	Micro-op 2: 7f74c686fcf3
Micro-op 1: 7f74c686f547	Micro-op 2: 7f74c686fcf6
Micro-op 1: 7f74c686f9a3	Micro-op 2: 7f74c686fd04
Micro-op 1: 7f74c686fd2d	Micro-op 2: 7f74c686fd3c
Micro-op 1: 7f74c686fcc0	Micro-op 2: 7f74c686fce4
Micro-op 1: 7f74c686fce8	Micro-op 2: 7f74c686fce8
Micro-op 1: 7f74c686fd04	Micro-op 2: 7f74c686fd04
Micro-op 1: 7f74c686fd2d	Micro-op 2: 7f74c686fd2d
Micro-op 1: 7f74c686fcc0	Micro-op 2: 7f74c686fcc0
Micro-op 1: 7f74c6e25a92	Micro-op 2: 7f74c6e25bd5
Micro-op 1: 7f74c6e265c0	Micro-op 2: 7f74c6e265c0
Micro-op 1: 7f74c686fd95	Micro-op 2: 7f74c686f9a3
Micro-op 1: 7f74c686f990	Micro-op 2: 7f74c686f9ab
Micro-op 1: 7f74c686f549	Micro-op 2: 7f74c686f54d
Micro-op 1: 7f74c6e25f66	Micro-op 2: 7f74c6e265e0
Micro-op 1: 7f74c6e25f66	Micro-op 2: 7f74c6e25f24
Micro-op 1: 7f74c6e25f2b	Micro-op 2: 7f74c6e25f2b
Micro-op 1: 7f74c6e25f66	Micro-op 2: 7f74c6e25f66
Micro-op 1: 7f74c68709a8	Micro-op 2: 7f74c687090a
Micro-op 1: 7f74c6e25a92	Micro-op 2: 7f74c6e25a92
Micro-op 1: 7f74c6fca285	Micro-op 2: 7f74c6fca286
