Scarab gitrev: fbdb46e
Scarab started at Sun Mar 23 11:48:18 2025

Initialized Ramulator. 
Micro-op 1: 7f34ea650ecb	Micro-op 2: 7f34ea65111c
Micro-op 1: 7f34ea651128	Micro-op 2: 7f34ea65112e
Micro-op 1: 7f34ea651138	Micro-op 2: 7f34ea651128
Micro-op 1: 7f34ea651138	Micro-op 2: 7f34ea651138
Micro-op 1: 7f34ea650f1f	Micro-op 2: 7f34ea65114b
Micro-op 1: 7f34ea651187	Micro-op 2: 7f34ea65118b
Micro-op 1: 7f34ea6511b0	Micro-op 2: 7f34ea6511b5
Micro-op 1: 7f34ea650ecb	Micro-op 2: 7f34ea650ecb
Micro-op 1: 7f34ea650f62	Micro-op 2: 7f34ea650edf
Micro-op 1: 7f34ea650fb6	Micro-op 2: 7f34ea650fb6
Micro-op 1: 7f34ea6510de	Micro-op 2: 7f34ea6510de
Micro-op 1: 7f34ea6510f6	Micro-op 2: 7f34ea6510f6
Micro-op 1: 7f34ea6511ba	Micro-op 2: 7f34ea6511b0
Micro-op 1: 7f34ea6511cd	Micro-op 2: 7f34ea6511cd
Micro-op 1: 7f34ea650f4b	Micro-op 2: 7f34ea650f1b
Micro-op 1: 7f34ea651187	Micro-op 2: 7f34ea651187
Micro-op 1: 7f34ea6511ba	Micro-op 2: 7f34ea6511ba
Micro-op 1: 7f34ea651260	Micro-op 2: 7f34ea651260
Micro-op 1: 7f34ea650f2f	Micro-op 2: 7f34ea65c0b4
Micro-op 1: 7f34ea650ecb	Micro-op 2: 7f34ea65c0c0
Micro-op 1: 7f34ea65c0c4	Micro-op 2: 7f34ea65c0cc
Micro-op 1: 7f34ea65c0cf	Micro-op 2: 7f34ea65c0eb
Micro-op 1: 7f34ea66b73e	Micro-op 2: 7f34ea66b74b
Micro-op 1: 7f34ea66b74b	Micro-op 2: 7f34ea66b74b
Micro-op 1: 7f34ea66b7b4	Micro-op 2: 7f34ea66b7d8
Micro-op 1: 7f34ea66b7e9	Micro-op 2: 7f34ea66b7f5
Micro-op 1: 7f34ea66b8f8	Micro-op 2: 7f34ea66b90a
Micro-op 1: 7f34ea66b81a	Micro-op 2: 7f34ea66b81a
Micro-op 1: 7f34ea66b8f8	Micro-op 2: 7f34ea66b8f8
Micro-op 1: 7f34ea66b840	Micro-op 2: 7f34ea66b840
Micro-op 1: 7f34ea66b9c0	Micro-op 2: 7f34ea66b9d1
Micro-op 1: 7f34ea66b9c0	Micro-op 2: 7f34ea66b9c0
Micro-op 1: 7f34ea66ba30	Micro-op 2: 7f34ea66ba34
Micro-op 1: 7f34ea66ba30	Micro-op 2: 7f34ea66ba30
Micro-op 1: 7f34ea66b998	Micro-op 2: 7f34ea66b9a8
Micro-op 1: 7f34ea66b998	Micro-op 2: 7f34ea66b998
Micro-op 1: 7f34ea66ba70	Micro-op 2: 7f34ea66ba74
