Scarab gitrev: fbdb46e
Scarab started at Sun Mar 23 11:59:22 2025

Initialized Ramulator. 
Micro-op 1: 7f7181877fe1	Micro-op 2: 7f7181877fe9
Micro-op 1: 7f718187780f	Micro-op 2: 7f7181877ff1
Micro-op 1: 7f7181877757	Micro-op 2: 7f718187776b
Micro-op 1: 7f718187780f	Micro-op 2: 7f718187778b
Micro-op 1: 7f71818778a9	Micro-op 2: 7f71818778aa
Micro-op 1: 7f71818778ab	Micro-op 2: 7f71818778ad
Micro-op 1: 7f7181877748	Micro-op 2: 7f71818778b1
Micro-op 1: 7f71818781fd	Micro-op 2: 7f7181878219
Micro-op 1: 7f718187739d	Micro-op 2: 7f7181878220
Micro-op 1: 7f7181878266	Micro-op 2: 7f7181878267
Micro-op 1: 7f7181878268	Micro-op 2: 7f718187826a
Micro-op 1: 7f71818781f9	Micro-op 2: 7f718187826e
Micro-op 1: 7f7181878270	Micro-op 2: 7f718187d1a2
Micro-op 1: 7f718187d1a3	Micro-op 2: 7f718187d1a8
Micro-op 1: 7f718187d1b4	Micro-op 2: 7f718187d1c3
Micro-op 1: 7f718187d1e4	Micro-op 2: 7f718187d1e5
Micro-op 1: 7f7181884c4d	Micro-op 2: 7f7181884c52
Micro-op 1: 7f7181884c57	Micro-op 2: 7f7181884c5c
Micro-op 1: 7f7181884c61	Micro-op 2: 7f7181884c66
Micro-op 1: 7f718187d19a	Micro-op 2: 7f7181886db4
Micro-op 1: 7f7181886dc9	Micro-op 2: 7f7181886dda
Micro-op 1: 7f7181884c72	Micro-op 2: 7f7181886dde
Micro-op 1: 7f718187820e	Micro-op 2: 7f718187d11b
Micro-op 1: 7f718187d135	Micro-op 2: 7f718187d135
Micro-op 1: 7f718187d142	Micro-op 2: 7f718187d142
Micro-op 1: 7f717e920592	Micro-op 2: 7f718079bd6e
Micro-op 1: 7f718079bd6b	Micro-op 2: 7f718079bd6b
Micro-op 1: 7f7180b9baae	Micro-op 2: 7f7180b9baaf
Micro-op 1: 7f7180b9bab0	Micro-op 2: 7f7180b9bab2
Micro-op 1: 7f7180be9fd2	Micro-op 2: 7f7180be9fd3
Micro-op 1: 7f7180be9fd5	Micro-op 2: 7f7180be9fd7
Micro-op 1: 7f7180bea0b0	Micro-op 2: 7f7180bea0b0
Micro-op 1: 7f7180b4cec5	Micro-op 2: 7f7180b4ced3
Micro-op 1: 7f7180c8f6f5	Micro-op 2: 7f7180b4cf29
Micro-op 1: 7f7180b4cf40	Micro-op 2: 7f7180b4cf40
Micro-op 1: 7f7180b4cf4d	Micro-op 2: 7f7180b4cf4d
Micro-op 1: 7f7180b4cf4d	Micro-op 2: 7f7180b4cf4d
Micro-op 1: 7f7180c8b041	Micro-op 2: 7f7180c8b06a
Micro-op 1: 7f7180c8b045	Micro-op 2: 7f7180c8b06e
Micro-op 1: 7f7180c8f7fd	Micro-op 2: 7f7180c8b077
Micro-op 1: 7f7180b29584	Micro-op 2: 7f7180b29584
Micro-op 1: 7f7180c8b045	Micro-op 2: 7f7180c8b045
Micro-op 1: 7f7180c8b041	Micro-op 2: 7f7180c8b041
Micro-op 1: 7f7180c8f7fd	Micro-op 2: 7f7180b4cf0f
Micro-op 1: 7f7180c8f7fd	Micro-op 2: 7f7180b4cf10
Micro-op 1: 7f7180c8f7fd	Micro-op 2: 7f7180b4cf11
Micro-op 1: 7f7180c8f7fd	Micro-op 2: 7f7180b4cf13
Micro-op 1: 7f7180c8f7fd	Micro-op 2: 7f7180b4cf15
Micro-op 1: 7f7180b4cf17	Micro-op 2: 7f7180b4cf19
Micro-op 1: 7f717d421f2d	Micro-op 2: 7f717d421f2f
Micro-op 1: 7f717d421f31	Micro-op 2: 7f717d421f33
Micro-op 1: 7f717d16cf34	Micro-op 2: 7f717d16cf34
Micro-op 1: 7f7180c8b045	Micro-op 2: 7f7180b4cec5
Micro-op 1: 7f7180c8b045	Micro-op 2: 7f7180c8f6f5
Micro-op 1: 7f7180c8f7fd	Micro-op 2: 7f7180c8f7fd
Micro-op 1: 7f717d421f34	Micro-op 2: 7f7180b4cf17
Micro-op 1: 7f717d421f2d	Micro-op 2: 7f717d421f31
Micro-op 1: 7f7180bea0be	Micro-op 2: 7f7180b9d851
Micro-op 1: 7f7180ba16f0	Micro-op 2: 7f7180b9d861
Micro-op 1: 7f7180ba16fc	Micro-op 2: 7f7180b9d89a
Micro-op 1: 7f7180ba1703	Micro-op 2: 7f7180b9d8a4
Micro-op 1: 7f7180b9d8b5	Micro-op 2: 7f7180b9d8d5
Micro-op 1: 7f7180b9d98d	Micro-op 2: 7f7180b9d98e
Micro-op 1: 7f7180b9d98f	Micro-op 2: 7f7180b9d991
Micro-op 1: 7f7180b9d993	Micro-op 2: 7f7180b9d995
Micro-op 1: 7f7180b9d997	Micro-op 2: 7f717d4a23f6
Micro-op 1: 7f7180b9d997	Micro-op 2: 7f717d4a23f7
Micro-op 1: 7f7180b9d97a	Micro-op 2: 7f717d42f19c
Micro-op 1: 7f7180b9d97a	Micro-op 2: 7f717d5775be
Micro-op 1: 7fff1eb7ca3d	Micro-op 2: 7fff1eb7ca4a
Micro-op 1: 7fff1eb7ca61	Micro-op 2: 7fff1eb7ca68
Micro-op 1: 7fff1eb7ca6f	Micro-op 2: 7fff1eb7ca84
Micro-op 1: 7fff1eb7ca8a	Micro-op 2: 7fff1eb7ca91
Micro-op 1: 7fff1eb7cad7	Micro-op 2: 7fff1eb7cad8
Micro-op 1: 7fff1eb7cada	Micro-op 2: 7fff1eb7cadb
Micro-op 1: 7f717d5775d6	Micro-op 2: 7f717d5775e7
Micro-op 1: 7f7180b9d975	Micro-op 2: 7f717d5775eb
Micro-op 1: 7f7180b9d97a	Micro-op 2: 7f717d5775ef
Micro-op 1: 7f7180b9d997	Micro-op 2: 7f717d5775fa
Micro-op 1: 7f7180b9d997	Micro-op 2: 7f717d5775fb
Micro-op 1: 7fff1eb7c6f1	Micro-op 2: 7f7181c0b58c
Micro-op 1: 7fff1eb7c6f1	Micro-op 2: 7f71815beab9
Micro-op 1: 7f7181c0b584	Micro-op 2: 7f718157f39f
Micro-op 1: 7f7181c07d46	Micro-op 2: 7f7181c07d55
Micro-op 1: 7f7181c07d49	Micro-op 2: 7f7181c07d9d
Micro-op 1: 7f7181c07daf	Micro-op 2: 7f7181c07db0
Micro-op 1: 7fff1eb7c6f1	Micro-op 2: 7f7181c07db3
Micro-op 1: 7fff1eb7c6f1	Micro-op 2: 7f7181c07db5
Micro-op 1: 7fff1eb7c6f1	Micro-op 2: 7f7181c07db7
Micro-op 1: 7fff1eb7c6f1	Micro-op 2: 7f7181c07db9
Micro-op 1: 7fff1eb7c6f1	Micro-op 2: 7f71815bea39
Micro-op 1: 7f718157f3ab	Micro-op 2: 7f718157f3b7
Micro-op 1: 7f7181c07d5e	Micro-op 2: 7f7181c08b6e
Micro-op 1: 7f7181c019e3	Micro-op 2: 7f7181c08b71
Micro-op 1: 7f7181c07d5e	Micro-op 2: 7f7181c08b79
Micro-op 1: 7f7181c07d5e	Micro-op 2: 7f7181c08c46
Micro-op 1: 7f7181c07d5e	Micro-op 2: 7f7181c08c55
Micro-op 1: 7f7181c07d5e	Micro-op 2: 7f7181c08c67
Micro-op 1: 7f7181c08bda	Micro-op 2: 7f7181c08bdb
Micro-op 1: 7f7181c08bdc	Micro-op 2: 7f71815bea59
Micro-op 1: 7f718157f3cb	Micro-op 2: 7f718157f3cd
Micro-op 1: 7f7181c0b584	Micro-op 2: 7f718157e29f
Micro-op 1: 7f718157f3ca	Micro-op 2: 7f718157e2b4
Micro-op 1: 7f7181c07d46	Micro-op 2: 7f7181c07d5e
Micro-op 1: 7f7181c07db1	Micro-op 2: 7f7181c07daf
Micro-op 1: 7f718157f3ca	Micro-op 2: 7f7181c07db1
Micro-op 1: 7f718157f3ca	Micro-op 2: 7f71815bea39
Micro-op 1: 7f71814547b0	Micro-op 2: 7f71814547b0
Micro-op 1: 7f718157f3ca	Micro-op 2: 7f7181c08bda
Micro-op 1: 7f718157f3ca	Micro-op 2: 7f7181c08bdc
Micro-op 1: 7f718157f3ca	Micro-op 2: 7f71815bea59
Micro-op 1: 7f7180b9d975	Micro-op 2: 7f718157e300
Micro-op 1: 7f7180b9d975	Micro-op 2: 7f718157e301
Micro-op 1: 7f7180b9d975	Micro-op 2: 7f718157e303
Micro-op 1: 7f7181454650	Micro-op 2: 7f7181454650
Micro-op 1: 7f7181c07d5e	Micro-op 2: 7f7181c07d46
Micro-op 1: 7f7181c07d49	Micro-op 2: 7f7181c07d49
Micro-op 1: 7f7181c0b584	Micro-op 2: 7f718157f3ab
Micro-op 1: 7f7181c08c4a	Micro-op 2: 7f7181c08c4a
Micro-op 1: 7f718157f3ca	Micro-op 2: 7f718157f3ca
Micro-op 1: 7f718157f3ca	Micro-op 2: 7f718157f3cb
Micro-op 1: 7f718157f802	Micro-op 2: 7f718157f6bb
Micro-op 1: 7f718157f6ce	Micro-op 2: 7f718157f6cf
Micro-op 1: 7f718157f395	Micro-op 2: 7f7181c0b584
Micro-op 1: 7f718157f395	Micro-op 2: 7f718157e42d
Micro-op 1: 7f718157f395	Micro-op 2: 7f71815beae4
Micro-op 1: 7f7180b9d97a	Micro-op 2: 7f7181c0acc3
Micro-op 1: 7f7181c0accf	Micro-op 2: 7f7181c0ace1
Micro-op 1: 7f718157f3ca	Micro-op 2: 7f7181c0acf1
Micro-op 1: 7f718157f3ca	Micro-op 2: 7f718157e44e
Micro-op 1: 7f718157f3ca	Micro-op 2: 7f718157e450
Micro-op 1: 7f7180b9d975	Micro-op 2: 7f718157e4c6
Micro-op 1: 7f7180b9d975	Micro-op 2: 7f718157e4c7
Micro-op 1: 7f718157db6d	Micro-op 2: 7f718157ffd2
Micro-op 1: 7f7180b9d97a	Micro-op 2: 7f7180b9bc44
Micro-op 1: 7f7180beb0cb	Micro-op 2: 7f7180b9bc4d
Micro-op 1: 7f718157ed51	Micro-op 2: 7f718157ed55
Micro-op 1: 7f718157ed64	Micro-op 2: 7f718157ed86
Micro-op 1: 7f718157e6a0	Micro-op 2: 7f718157e6a4
Micro-op 1: 7f718157e75a	Micro-op 2: 7f718157e75b
Micro-op 1: 7f718157e75c	Micro-op 2: 7f718157e75e
Micro-op 1: 7f718157ede0	Micro-op 2: 7f718157ede7
Micro-op 1: 7f7180c92762	Micro-op 2: 7f7180c92766
Micro-op 1: 7f718157edf2	Micro-op 2: 7f718157edfb
Micro-op 1: 7f718157ee03	Micro-op 2: 7f718157ee04
Micro-op 1: 7f718157ee05	Micro-op 2: 7f718157ee07
Micro-op 1: 7f7181c07db1	Micro-op 2: 7f7181580028
Micro-op 1: 7f7180bea0be	Micro-op 2: 7f718158002d
Micro-op 1: 7f7181c07db1	Micro-op 2: 7f718158003c
Micro-op 1: 7f7181c07db1	Micro-op 2: 7f718158003d
Micro-op 1: 7f7181c07db1	Micro-op 2: 7f718158003f
Micro-op 1: 7f718157eb44	Micro-op 2: 7f718157eb54
Micro-op 1: 7f718157eb48	Micro-op 2: 7f718157eb66
Micro-op 1: 7fff1eb7c6f1	Micro-op 2: 7f718157eba7
Micro-op 1: 7fff1eb7c6f1	Micro-op 2: 7f718157eba8
Micro-op 1: 7fff1eb7c6f1	Micro-op 2: 7f718157eba9
Micro-op 1: 7fff1eb7c6f1	Micro-op 2: 7f718157ebab
Micro-op 1: 7fff1eb7c6f1	Micro-op 2: 7f718157dbbc
Micro-op 1: 7f718157dbb4	Micro-op 2: 7f718157dbc3
Micro-op 1: 7f718157db69	Micro-op 2: 7f718157d8e1
Micro-op 1: 7f718157d8d4	Micro-op 2: 7f718157d8eb
Micro-op 1: 7f718157d909	Micro-op 2: 7f718157d910
Micro-op 1: 7f7181454830	Micro-op 2: 7f7181454870
Micro-op 1: 7fff1eb7cbee	Micro-op 2: 7fff1eb7cbfc
Micro-op 1: 7fff1eb7cc08	Micro-op 2: 7fff1eb7cc08
Micro-op 1: 7f718157d91b	Micro-op 2: 7f718157da0b
Micro-op 1: 7fff1eb7cc08	Micro-op 2: 7f718157db10
Micro-op 1: 7f718157db69	Micro-op 2: 7f718157db69
Micro-op 1: 7f718157d8fc	Micro-op 2: 7f718157d929
Micro-op 1: 7f718157da17	Micro-op 2: 7f718157d930
Micro-op 1: 7f718157e2e6	Micro-op 2: 7f718157da3e
Micro-op 1: 7f718157db6d	Micro-op 2: 7f718157d45e
Micro-op 1: 7f718157d46e	Micro-op 2: 7f718157d49f
Micro-op 1: 7f718157db69	Micro-op 2: 7f718157d580
Micro-op 1: 7f718157db69	Micro-op 2: 7f718157d4e2
Micro-op 1: 7f718157db69	Micro-op 2: 7f718157d4e8
Micro-op 1: 7f718157d58d	Micro-op 2: 7f718157d58d
Micro-op 1: 7f718157da3a	Micro-op 2: 7f718157f059
Micro-op 1: 7f718157db69	Micro-op 2: 7f718157f070
Micro-op 1: 7f718157db69	Micro-op 2: 7f718157f079
Micro-op 1: 7f7181557aa4	Micro-op 2: 7f7181557aa4
Micro-op 1: 7f7181557ab0	Micro-op 2: 7f7181557ab0
Micro-op 1: 7f7181557ac5	Micro-op 2: 7f7181557ac5
Micro-op 1: 7f7181454410	Micro-op 2: 7f7181454410
Micro-op 1: 7f7180ba1113	Micro-op 2: 7f7180ba1113
Micro-op 1: 7f7180ba111a	Micro-op 2: 7f7180ba111a
Micro-op 1: 7f7180ba1128	Micro-op 2: 7f7180ba1128
Micro-op 1: 7f7180ba1186	Micro-op 2: 7f7180ba118a
Micro-op 1: 7f7180ba118b	Micro-op 2: 7f7180ba118d
Micro-op 1: 7f7180c92b9d	Micro-op 2: 7f7181557c29
Micro-op 1: 7f7181454230	Micro-op 2: 7f7181454230
Micro-op 1: 7f7180ba10f2	Micro-op 2: 7f7180ba10f2
Micro-op 1: 7f7180ba11e4	Micro-op 2: 7f7180ba11e4
Micro-op 1: 7f7180ba11f7	Micro-op 2: 7f7180ba11f7
Micro-op 1: 7f7181557c2b	Micro-op 2: 7f7180ba118b
Micro-op 1: 7f7181454080	Micro-op 2: 7f7181454080
Micro-op 1: 7f7180c92b9d	Micro-op 2: 7f7181557c29
Micro-op 1: 7f7181557c2b	Micro-op 2: 7f718157e979
Micro-op 1: 7f718157e97d	Micro-op 2: 7f718157e97e
Micro-op 1: 7f718157e982	Micro-op 2: 7f718157e984
Micro-op 1: 7f7180ba11fe	Micro-op 2: 7f718157ec24
Micro-op 1: 7f718157e980	Micro-op 2: 7f718157ec3e
Micro-op 1: 7f718157ec28	Micro-op 2: 7f718157ec5f
Micro-op 1: 7f718157ec63	Micro-op 2: 7f718157ec7b
Micro-op 1: 7f718157e75a	Micro-op 2: 7f718157e75c
Micro-op 1: 7f718157e760	Micro-op 2: 7f718157eca4
Micro-op 1: 7f718157f1d3	Micro-op 2: 7f718157eca5
Micro-op 1: 7f718157e6a0	Micro-op 2: 7f718157ef35
Micro-op 1: 7f718157ef39	Micro-op 2: 7f718157ef42
Micro-op 1: 7f718157e75a	Micro-op 2: 7f718157e760
Micro-op 1: 7f718157e6a0	Micro-op 2: 7f718157ef53
Micro-op 1: 7f718157eca7	Micro-op 2: 7f718157ef5e
Micro-op 1: 7f7180c92776	Micro-op 2: 7f718157ef5f
Micro-op 1: 7f7180c92776	Micro-op 2: 7f718157f0ba
Micro-op 1: 7f718157f1d8	Micro-op 2: 7f718157f0bf
Micro-op 1: 7f71814546f0	Micro-op 2: 7f71814546f0
Micro-op 1: 7f7180c92776	Micro-op 2: 7f71815bea39
Micro-op 1: 7f718157da3a	Micro-op 2: 7f718157f0e1
Micro-op 1: 7f71814542b0	Micro-op 2: 7f71814542b0
Micro-op 1: 7f7180ba1186	Micro-op 2: 7f7180beb0cb
Micro-op 1: 7f718157dd54	Micro-op 2: 7f718157d8fc
Micro-op 1: 7f718157d8d4	Micro-op 2: 7f718157d909
Micro-op 1: 7f718157d8d4	Micro-op 2: 7f718157d91b
Micro-op 1: 7f718157d8d4	Micro-op 2: 7f718157da17
Micro-op 1: 7f718157dd74	Micro-op 2: 7f718157d929
Micro-op 1: 7f718157da3a	Micro-op 2: 7f718157da3a
Micro-op 1: 7f718157d46e	Micro-op 2: 7f718157d4b3
Micro-op 1: 7f718157d8d4	Micro-op 2: 7f718157d46e
Micro-op 1: 7f718157da3a	Micro-op 2: 7f718157f1c0
Micro-op 1: 7f7180ba10e4	Micro-op 2: 7f7180ba10e4
Micro-op 1: 7f7180ba1186	Micro-op 2: 7f7180c92b9d
Micro-op 1: 7f7181557c2b	Micro-op 2: 7f7181557c2b
Micro-op 1: 7f718157e97d	Micro-op 2: 7f718157e980
Micro-op 1: 7f718157dd74	Micro-op 2: 7f718157f1d8
Micro-op 1: 7f718157ef57	Micro-op 2: 7f718157ec28
Micro-op 1: 7f718157ef57	Micro-op 2: 7f718157ec63
Micro-op 1: 7f718157ef57	Micro-op 2: 7f718157e6a0
Micro-op 1: 7f718157e75a	Micro-op 2: 7f718157e760
Micro-op 1: 7f718157f0c8	Micro-op 2: 7f718157eca7
Micro-op 1: 7f718157ef57	Micro-op 2: 7f718157ef39
Micro-op 1: 7f718157ef57	Micro-op 2: 7f718157ef57
Micro-op 1: 7f718157dd74	Micro-op 2: 7f718157dd54
Micro-op 1: 7f718157f0c8	Micro-op 2: 7f718157f0c8
Micro-op 1: 7f718157d8d4	Micro-op 2: 7f718157d8d4
Micro-op 1: 7f7180b9d97a	Micro-op 2: 7f718157fc3d
Micro-op 1: 7f718157eca5	Micro-op 2: 7f718157eca7
Micro-op 1: 7f718157e75a	Micro-op 2: 7f718157e75a
Micro-op 1: 7f718157ef5e	Micro-op 2: 7f718157ef5f
Micro-op 1: 7f718157fc61	Micro-op 2: 7f71814548a8
Micro-op 1: 7f718157efd4	Micro-op 2: 7f718157efd8
Micro-op 1: 7f7180b4f2fb	Micro-op 2: 7f718157eff9
Micro-op 1: 7f718157eff1	Micro-op 2: 7f718157ebf4
Micro-op 1: 7f718157ebfe	Micro-op 2: 7f718157ec07
Micro-op 1: 7f7180b4f2fb	Micro-op 2: 7f718157ec0f
Micro-op 1: 7f7180b9d97a	Micro-op 2: 7f718157fd02
Micro-op 1: 7f7180b4f2fb	Micro-op 2: 7f718157fd11
Micro-op 1: 7f718157fd1d	Micro-op 2: 7f718157fd1e
Micro-op 1: 7f718157fd1f	Micro-op 2: 7f718157fd21
Micro-op 1: 7f718157fd23	Micro-op 2: 7f718157fd25
Micro-op 1: 7f718157fd27	Micro-op 2: 7f718157eb48
Micro-op 1: 7f718157fd27	Micro-op 2: 7f718157eb66
Micro-op 1: 7f718157f1d3	Micro-op 2: 7f718157f143
Micro-op 1: 7f718157f06d	Micro-op 2: 7f718157f148
Micro-op 1: 7f718157eb44	Micro-op 2: 7f718157eb44
Micro-op 1: 7f718157eaba	Micro-op 2: 7f718157eac4
Micro-op 1: 7f718157eac7	Micro-op 2: 7f718157eacb
