Scarab gitrev: fbdb46e
Failed to load binaries: Failed to map module /simpoint_traces/clang/traces_simp/bin/libdrmemtrace.so Check that module.log references the correct binary paths.Scarab started at Sun Mar 23 11:34:22 2025

Initialized Ramulator. 
Micro-op 1: 7ffff7dc44f4	Micro-op 2: 7ffff7dc44f4
Micro-op 1: 7ffff7dc44f7	Micro-op 2: 7ffff7dc44f7
Micro-op 1: 7ffff7dc5f61	Micro-op 2: 7ffff7dc4500
Micro-op 1: 7ffff7dc44f4	Micro-op 2: 7ffff7dc4507
Micro-op 1: 7ffff7dc4441	Micro-op 2: 7ffff7dc450d
Micro-op 1: 7ffff7dc5f61	Micro-op 2: 7ffff7dc452b
Micro-op 1: 7ffff7dc5f61	Micro-op 2: 7ffff7dc452c
Micro-op 1: 7ffff7dc4f43	Micro-op 2: 7ffff7dc4f47
Micro-op 1: 7ffff7dc4441	Micro-op 2: 7ffff7dc4f4b
Micro-op 1: 7ffff7dc4655	Micro-op 2: 7ffff7dc4f55
Micro-op 1: 7ffff7dc45d8	Micro-op 2: 7ffff7dc4fc1
Micro-op 1: 7ffff7dc4fb6	Micro-op 2: 7ffff7dc4fb6
Micro-op 1: 7ffff7dc4b16	Micro-op 2: 7ffff7dc4b22
Micro-op 1: 7ffff7dc2600	Micro-op 2: 7ffff7dc261c
Micro-op 1: 7ffff7dc2640	Micro-op 2: 7ffff7dc2640
Micro-op 1: 7ffff7dc25fc	Micro-op 2: 7ffff7dc2600
Micro-op 1: 7ffff7dc2640	Micro-op 2: 7ffff7dc2640
Micro-op 1: 7ffff7dc4b64	Micro-op 2: 7ffff7dc4b7f
Micro-op 1: 7ffff7dc2640	Micro-op 2: 7ffff7dc2640
Micro-op 1: 7ffff7dc4b9f	Micro-op 2: 7ffff7dc4d78
Micro-op 1: 7ffff7dc4b0b	Micro-op 2: 7ffff7dc4d82
Micro-op 1: 7ffff7dc4b0b	Micro-op 2: 7ffff7dc4de8
Micro-op 1: 7ffff7dc4b0b	Micro-op 2: 7ffff7dc4dfe
Micro-op 1: 7ffff7dc4b0b	Micro-op 2: 7ffff7dc4e0b
