Core, 0
FULL_WINDOW_OTHER_OP_sum_total_pct,         -nan
FULL_WINDOW_OTHER_OP_mean,         -nan
FULL_WINDOW_OTHER_OP_stddev,         -nan
FULL_WINDOW_OTHER_OP_total_mean,         -nan
FULL_WINDOW_OTHER_OP_total_stddev,         -nan

RET_BLOCKED_DC_MISS_count,         19092
RET_BLOCKED_DC_MISS_pct,        0.010
RET_BLOCKED_DC_MISS_total_count,         19092
RET_BLOCKED_DC_MISS_total_pct,        0.010

RET_BLOCKED_L1_MISS_count,        400797
RET_BLOCKED_L1_MISS_pct,        0.220
RET_BLOCKED_L1_MISS_total_count,        400797
RET_BLOCKED_L1_MISS_total_pct,        0.220

RET_BLOCKED_L1_MISS_BW_PREF_count,        370656
RET_BLOCKED_L1_MISS_BW_PREF_pct,        0.204
RET_BLOCKED_L1_MISS_BW_PREF_total_count,        370656
RET_BLOCKED_L1_MISS_BW_PREF_total_pct,        0.204

RET_BLOCKED_L1_ACCESS_count,          1630
RET_BLOCKED_L1_ACCESS_pct,        0.001
RET_BLOCKED_L1_ACCESS_total_count,          1630
RET_BLOCKED_L1_ACCESS_total_pct,        0.001

RET_BLOCKED_MEM_STALL_count,     139686093
RET_BLOCKED_MEM_STALL_pct,       76.816
RET_BLOCKED_MEM_STALL_total_count,     139686093
RET_BLOCKED_MEM_STALL_total_pct,       76.816

RET_BLOCKED_OFFCHIP_DEMAND_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_pct,        0.000
RET_BLOCKED_OFFCHIP_DEMAND_total_count,             0
RET_BLOCKED_OFFCHIP_DEMAND_total_pct,        0.000

OP_ISSUED_count,     107401462
OP_ISSUED_total_count,     107401462

OP_RETIRED_count,     107400262
OP_RETIRED_total_count,     107400262

REPLAY_SIGNALED_count,             0
REPLAY_SIGNALED_total_count,             0

REPLAY_COUNTED_count,             0
REPLAY_COUNTED_total_count,             0

OFF_CRITICAL_PATH_count,             0
OFF_CRITICAL_PATH_pct,         -nan
OFF_CRITICAL_PATH_total_count,             0
OFF_CRITICAL_PATH_total_pct,         -nan

ON_CRITICAL_PATH_count,             0
ON_CRITICAL_PATH_pct,         -nan
ON_CRITICAL_PATH_total_count,             0
ON_CRITICAL_PATH_total_pct,         -nan
ON_CRITICAL_PATH_sum_count,             0
ON_CRITICAL_PATH_sum_pct,         -nan
ON_CRITICAL_PATH_sum_total_count,             0
ON_CRITICAL_PATH_sum_total_pct,         -nan
ON_CRITICAL_PATH_mean,         -nan
ON_CRITICAL_PATH_stddev,         -nan
ON_CRITICAL_PATH_total_mean,         -nan
ON_CRITICAL_PATH_total_stddev,         -nan

LD_NO_DEPENDENTS_count,      15433282
LD_NO_DEPENDENTS_pct,       99.999
LD_NO_DEPENDENTS_total_count,      15433282
LD_NO_DEPENDENTS_total_pct,       99.999

LD_DEPENDENTS_count,           104
LD_DEPENDENTS_pct,        0.001
LD_DEPENDENTS_total_count,           104
LD_DEPENDENTS_total_pct,        0.001
LD_DEPENDENTS_sum_count,      15433386
LD_DEPENDENTS_sum_pct,      100.000
LD_DEPENDENTS_sum_total_count,      15433386
LD_DEPENDENTS_sum_total_pct,      100.000
LD_DEPENDENTS_mean,         0.00
LD_DEPENDENTS_stddev,         0.00
LD_DEPENDENTS_total_mean,         0.00
LD_DEPENDENTS_total_stddev,         0.00

LD_EXEC_CYCLES_0_count,             0
LD_EXEC_CYCLES_0_pct,         -nan
LD_EXEC_CYCLES_0_total_count,             0
LD_EXEC_CYCLES_0_total_pct,         -nan

LD_EXEC_CYCLES_1_count,             0
LD_EXEC_CYCLES_1_pct,         -nan
LD_EXEC_CYCLES_1_total_count,             0
LD_EXEC_CYCLES_1_total_pct,         -nan

LD_EXEC_CYCLES_2_count,             0
LD_EXEC_CYCLES_2_pct,         -nan
LD_EXEC_CYCLES_2_total_count,             0
LD_EXEC_CYCLES_2_total_pct,         -nan

LD_EXEC_CYCLES_3_count,             0
LD_EXEC_CYCLES_3_pct,         -nan
