pc1,pc2,cacheline,op_num1,op_num2,distance
7f34ea650e1f,7f34ea650ea9,7f34ea67ce40,45,69,23
7f34ea650e92,7f34ea650e92,7f34ea67cf40,460,480,19
7f34ea650ebf,7f34ea650ecf,7f34ea67da40,943,949,5
7f34ea650ecb,7f34ea650eeb,7f34ea67ce80,946,958,11
7f34ea650edf,7f34ea650eef,7f34ea67da40,955,961,5
7f34ea650f0b,7f34ea650f1b,7f34ea67cf00,970,976,5
7f34ea650efb,7f34ea650f3b,7f34ea67ce80,964,988,23
7f34ea650f0f,7f34ea650f3f,7f34ea67dac0,973,991,17
7f34ea650eff,7f34ea650f56,7f34ea67da40,967,997,29
7f34ea650f2b,7f34ea650f69,7f34ea67cf40,982,1001,18
7f34ea650f62,7f34ea650ebf,7f34ea67da40,1000,1161,160
7f34ea650edb,7f34ea650edb,7f34ea67cec0,952,1170,217
7f34ea650f62,7f34ea650edf,7f34ea67da40,1000,1173,172
7f34ea650ecb,7f34ea650efb,7f34ea67ce80,1164,1182,17
7f34ea650f62,7f34ea650eff,7f34ea67da40,1000,1185,184
7f34ea650f4b,7f34ea650f0b,7f34ea67cf00,994,1188,193
7f34ea650f1f,7f34ea650f1f,7f34ea67db80,979,1197,217
7f34ea650f2f,7f34ea650f2f,7f34ea67dc80,985,1203,217
7f34ea650f4b,7f34ea650f4b,7f34ea67cf00,994,1212,217
7f34ea650f62,7f34ea650f62,7f34ea67da40,1000,1218,217
7f34ea650f74,7f34ea650f74,7f34ea67db40,1004,1222,217
7f34ea650f8e,7f34ea650f8e,7f34ea67db00,1044,1225,180
7f34ea650f62,7f34ea650edf,7f34ea67da40,1000,1354,353
7f34ea650f0f,7f34ea650f0f,7f34ea67dac0,1191,1372,180
7f34ea650f2b,7f34ea650f2b,7f34ea67cf40,1200,1381,180
7f34ea650fa8,7f34ea650fa8,7f34ea67db00,1409,1459,49
7f34ea650f4b,7f34ea6510b9,7f34ea67cf00,994,1551,556
7f34ea650f62,7f34ea6510bd,7f34ea67da40,1000,1552,551
7f34ea650f74,7f34ea6510c4,7f34ea67db40,1004,1553,548
7f34ea650f4b,7f34ea6510cb,7f34ea67cf00,994,1554,559
7f34ea6510ef,7f34ea6510ef,7f34ea67da00,1565,1648,82
7f34ea650edb,7f34ea651100,7f34ea67cec0,952,1651,698
7f34ea650f4b,7f34ea651104,7f34ea67cf00,994,1652,657
7f34ea650f62,7f34ea651115,7f34ea67da40,1000,1657,656
7f34ea650ecb,7f34ea65111c,7f34ea67ce80,1345,1658,312
7f34ea651128,7f34ea65112e,7f34ea64fb00,1662,1664,1
7f34ea651138,7f34ea651128,7f34ea64fb00,1667,1752,84
7f34ea651138,7f34ea651138,7f34ea64fb40,1768,1779,10
7f34ea650f1f,7f34ea65114b,7f34ea67db80,979,2424,1444
7f34ea651187,7f34ea65118b,7f34ea64fec0,2568,2569,0
7f34ea6511b0,7f34ea6511b5,7f34ea64f5c0,2581,2582,0
7f34ea650ecb,7f34ea650ecb,7f34ea67ce80,1345,2637,1291
7f34ea650f62,7f34ea650edf,7f34ea67da40,1000,2646,1645
7f34ea650fb6,7f34ea650fb6,7f34ea67da80,1462,2704,1241
7f34ea6510de,7f34ea6510de,7f34ea67cf80,1560,2720,1159
7f34ea6510f6,7f34ea6510f6,7f34ea67dac0,1649,2726,1076
7f34ea6511ba,7f34ea6511b0,7f34ea64f5c0,2583,2769,185
7f34ea6511cd,7f34ea6511cd,7f34ea67d9c0,2587,2775,187
7f34ea650f4b,7f34ea650f1b,7f34ea67cf00,994,2855,1860
7f34ea651187,7f34ea651187,7f34ea64fec0,2756,2944,187
7f34ea6511ba,7f34ea6511ba,7f34ea64f5c0,2771,2959,187
7f34ea651260,7f34ea651260,7f34ea64ff00,3040,3113,72
7f34ea650f2f,7f34ea65c0b4,7f34ea67dc80,985,3590,2604
7f34ea650ecb,7f34ea65c0c0,7f34ea67ce80,1345,3593,2247
7f34ea65c0c4,7f34ea65c0cc,7f34ea64f3c0,3594,3596,1
7f34ea65c0cf,7f34ea65c0eb,7f34ea64f3c0,3597,3605,7
7f34ea66b73e,7f34ea66b74b,7ffe447c30c0,3686,3691,4
7f34ea66b74b,7f34ea66b74b,7ffe447c31c0,4068,4072,3
7f34ea66b7b4,7f34ea66b7d8,7f34ea67ce40,4473,4479,5
7f34ea66b7e9,7f34ea66b7f5,7f34ea67c640,4482,4484,1
7f34ea66b8f8,7f34ea66b90a,7ffe447c3200,4883,4887,3
7f34ea66b81a,7f34ea66b81a,7f34ea673880,4493,4986,492
7f34ea66b8f8,7f34ea66b8f8,7ffe447c3200,4989,5002,12
7f34ea66b840,7f34ea66b840,7ffe447c3200,5054,5125,70
7f34ea66b9c0,7f34ea66b9d1,7ffe447c3200,5211,5215,3
7f34ea66b9c0,7f34ea66b9c0,7ffe447c3200,5333,5346,12
7f34ea66ba30,7f34ea66ba34,7ffe447c3200,5378,5379,0
7f34ea66ba30,7f34ea66ba30,7ffe447c3200,5493,5505,11
7f34ea66b998,7f34ea66b9a8,7ffe447c3240,5533,5537,3
7f34ea66b998,7f34ea66b998,7ffe447c3240,5557,5581,23
7f34ea66ba70,7f34ea66ba74,7ffe447c3240,5913,5914,0
7f34ea66ba70,7f34ea66ba70,7ffe447c3240,6035,6046,10
7f34ea66ba50,7f34ea66ba54,7ffe447c3240,6184,6185,0
7f34ea66ba50,7f34ea66ba50,7ffe447c3240,6204,6224,19
7f34ea66ba10,7f34ea66ba14,7ffe447c3280,6431,6432,0
7f34ea66ba10,7f34ea66ba10,7ffe447c3280,6451,6471,19
7f34ea66b948,7f34ea66b94c,7ffe447c32c0,6841,6842,0
7f34ea66b948,7f34ea66b948,7ffe447c32c0,6878,6915,36
7f34ea66b828,7f34ea66b828,7ffe447c3300,7142,7156,13
7f34ea66b920,7f34ea66b932,7ffe447c3300,7492,7496,3
7f34ea66b920,7f34ea66b920,7ffe447c3300,7515,7538,22
7f34ea66b9e8,7f34ea66b9ec,7ffe447c3300,7703,7704,0
7f34ea66b87d,7f34ea66b88f,7ffe447c2c00,7756,7761,4
7f34ea66b884,7f34ea66b896,7ffe447c2bc0,7759,7764,4
7f34ea66b8a2,7f34ea66b8a9,7ffe447c2c00,7766,7769,2
7f34ea66b8b3,7f34ea66b8c6,7ffe447c2c00,7771,7778,6
7f34ea66b9e8,7f34ea66b9e8,7ffe447c3300,7738,7808,69
7f34ea66b87d,7f34ea66b8a2,7ffe447c2c00,7827,7837,9
7f34ea66b8b3,7f34ea66b8cd,7ffe447c2c00,7842,7895,52
7f34ea66b8d9,7f34ea66b8e4,7ffe447c2c00,7897,7900,2
7f34ea669096,7f34ea6690b8,7ffe447c3980,8003,8011,7
7f34ea669138,7f34ea66913e,7f34ea67c8c0,8582,8585,2
7f34ea669138,7f34ea669138,7f34ea67c900,8761,8771,9
7f34ea669147,7f34ea669147,7f34ea674c00,8777,8806,28
7f34ea669174,7f34ea669174,7ffe447c3980,8940,8961,20
7f34ea669096,7f34ea66911b,7ffe447c3980,10143,10272,128
7f34ea669065,7f34ea669122,7f34ea67ce40,7993,10275,2281
7f34ea669089,7f34ea669089,7ffe447c30c0,10140,10303,162
7f34ea66911b,7f34ea669096,7ffe447c3980,8575,10306,1730
7f34ea669164,7f34ea669164,7f34ea674cc0,12133,12143,9
7f34ea66919f,7f34ea6691a0,7ffe447c2bc0,33688,33690,1
7f34ea6691a2,7f34ea6691a4,7ffe447c2bc0,33692,33694,1
7f34ea6691a6,7f34ea6691a8,7ffe447c2bc0,33696,33698,1
7f34ea66b3c5,7f34ea66b3d7,7f34ea67c6c0,34341,34347,5
7f34ea66b79c,7f34ea66b79c,7f34ea67c780,4469,34649,30179
7f34ea669122,7f34ea66b7b4,7f34ea67ce40,8578,34653,26074
7f34ea66b7ff,7f34ea66b7e9,7f34ea67c640,4486,34662,30175
7f34ea66b7ff,7f34ea66b7ff,7f34ea67c640,4486,34666,30179
7f34ea66b41c,7f34ea66b561,7f34ea67c680,34361,34701,339
7f34ea66b550,7f34ea66b56a,7f34ea67c6c0,34697,34704,6
7f34ea66b715,7f34ea66b715,7ffe447c2d00,34617,34850,232
7f34ea66b73e,7f34ea66b73e,7ffe447c30c0,34625,34858,232
7f34ea66b755,7f34ea66b755,7ffe447c31c0,34634,34867,232
7f34ea66b7c0,7f34ea66b7c0,7f34ea67c7c0,34655,34888,232
7f34ea66b7cc,7f34ea66b7cc,7f34ea67c600,34657,34890,232
7f34ea66b3bc,7f34ea66b87d,7ffe447c2c00,34338,34928,589
7f34ea66b8b3,7f34ea66b8d9,7ffe447c2c00,34943,34951,7
7f34ea669122,7f34ea669065,7f34ea67ce40,8578,34975,26396
7f34ea66b884,7f34ea66919f,7ffe447c2bc0,34931,34988,56
7f34ea6691a2,7f34ea6691a6,7ffe447c2bc0,34992,34996,3
7f34ea66b593,7f34ea66b5bb,7f34ea67c680,34714,35015,300
7f34ea66b655,7f34ea66b677,7f34ea67c680,35432,35542,109
7f34ea66b655,7f34ea66b655,7f34ea67c680,35682,35904,221
7f34ea66b655,7f34ea66b474,7f34ea67c680,35682,36020,337
7f34ea66b655,7f34ea66b593,7f34ea67c680,35682,36121,438
7f34ea66b655,7f34ea66b5d8,7f34ea67c680,35682,36132,449
7f34ea66b441,7f34ea66b5ea,7f34ea67c6c0,36007,36135,127
7f34ea66b441,7f34ea66b550,7f34ea67c6c0,36007,36197,189
7f34ea66b4be,7f34ea66b4be,7ffe447c2b40,36243,36263,19
7f34ea66b4c1,7f34ea66b4c1,7ffe447c2ac0,36298,36319,20
7f34ea66b4f4,7f34ea66b4f4,7ffe447c2b40,36750,36821,70
7f34ea66b4f7,7f34ea66b4f7,7ffe447c2ac0,36751,36822,70
7f34ea66cf61,7f34ea66b500,7ffe447c2bc0,33752,37685,3932
7f34ea66b441,7f34ea66b50d,7f34ea67c6c0,36007,37689,1681
7f34ea66cf61,7f34ea66b52b,7ffe447c2bc0,33752,37696,3943
7f34ea66cf61,7f34ea66b52c,7ffe447c2bc0,33752,37698,3945
7f34ea66bf43,7f34ea66bf47,7ffe447c2c00,37729,37730,0
7f34ea66b441,7f34ea66bf4b,7f34ea67c6c0,36007,37731,1723
7f34ea66b655,7f34ea66bf55,7f34ea67c680,35682,37733,2050
7f34ea66bfb6,7f34ea66bfb6,7f34ea673980,37843,38303,459
7f34ea66bfc1,7f34ea66bfc1,7f34ea67c680,37846,38306,459
7f34ea66b441,7f34ea66bb16,7f34ea67c6c0,36007,38320,2312
7f34ea66b441,7f34ea66bb22,7f34ea67c6c0,36007,38325,2317
7f34ea669600,7f34ea66961c,7f34ea67cc40,38384,38549,164
7f34ea66cf61,7f34ea669640,7ffe447c2bc0,33752,38560,4807
7f34ea6695fc,7f34ea669600,7f34ea67ca80,38686,38687,0
7f34ea669640,7f34ea669640,7ffe447c2bc0,38852,38920,67
7f34ea66bb64,7f34ea66bb7f,7ffe447c2c40,38855,38923,67
7f34ea669640,7f34ea669640,7ffe447c2bc0,38852,38989,136
7f34ea66b441,7f34ea66bb9f,7f34ea67c6c0,36007,38993,2985
