pc1,pc2,cacheline,op_num1,op_num2,distance
7f74cf72f12f,7f74cf72f130,7f725416fd80,17,19,1
7f74cf644519,7f74cf644528,7f74cf7f9700,329,332,2
7f74cfb5e573,7f74cfb5e59a,7f7254170d00,344,354,9
7f74cfb5e54e,7f74cf652bba,7f7254170700,274,838,563
7f74cfb5e54e,7f74cf652be0,7f7254170700,274,847,572
7f74cfb5e54e,7f74cf652bf6,7f7254170700,274,853,578
7f74cf652bf1,7f74cf652bf1,7f725416fcc0,851,914,62
7f74cf652c07,7f74cf652c07,7f7254170740,857,920,62
7f74cf652bf1,7f74cf652c41,7f725416fcc0,851,1285,433
7f74cf652bf1,7f74cf652c42,7f725416fcc0,851,1287,435
7f74cfb5e573,7f74cfb5e5d7,7f7254170d00,344,1299,954
7f74cfb5e5d2,7f74cfb5e5e4,7f725416fd00,1298,1302,3
7f74cfb5e5fc,7f74cfb5e603,7f7254170d40,1308,1309,0
7f74c6e3c168,7f74c6e3c179,7f74c86bf040,1747,1752,4
7f74c6e1d2d5,7f74c6e1d2e9,7f725462f340,1729,1759,29
7f74c6e1d2d5,7f74c6e1d2f0,7f725462f340,1729,1760,30
7f74c6e36963,7f74c6e36ee8,7f74c8677e80,1822,2065,242
7f74c6e36f45,7f74c6e36f53,7f74c8b069c0,2079,2084,4
7f74c6e36f58,7f74c6e36f7b,7f74c8b06a00,2087,2098,10
7f74c6e36f89,7f74c6e36f0b,7f74cccf8100,2102,2515,412
7f74c6e36f45,7f74c6e36f45,7f74c8b069c0,2534,2582,47
7f74c6e36f58,7f74c6e36f58,7f74c8b06a00,2542,2590,47
7f74c6e36f89,7f74c6e36f89,7f74cccf8100,2557,2605,47
7f74c6e36b0f,7f74c6e36b6e,7f74c8b29e80,2659,2676,16
7f74c6e36af4,7f74c6e32741,7f725416fc40,2655,2746,90
7f74c6e36af4,7f74c6e46695,7f725416fc40,2655,3028,372
7f74c6e326b4,7f74c6e326b4,7f74cccf8100,2719,3160,440
7f74c6e326c8,7f74c6e326c8,7f74c86bc7c0,2723,3164,440
7f74c6e326d8,7f74c6e326d8,7f74c86bc780,2726,3167,440
7f74c6e326e8,7f74c6e326e8,7f74c86bc1c0,2729,3170,440
7f74c6e326f8,7f74c6e326f8,7f74c86bc180,2732,3173,440
7f74c6e32708,7f74c6e32708,7f74c86bc380,2735,3176,440
7f74c6e32718,7f74c6e32718,7f74c86bc340,2738,3179,440
7f74c6e32728,7f74c6e32728,7f74c86bc580,2741,3182,440
7f74c6e32738,7f74c6e32738,7f74c86bc540,2744,3185,440
7f74c6e36f3c,7f74c6e36f3c,7f74c8677f00,2076,3435,1358
7f74c6e36ae3,7f74c6e36ae3,7f74c86bd840,2651,3478,826
7f74c6e36af4,7f74c6e36af4,7f725416fc40,2655,3482,826
7f74c6e36b3c,7f74c6e36b3c,7f74cccf8900,2666,3493,826
7f74c6e36b55,7f74c6e36b55,7f74cccf8600,2671,3498,826
7f74c6e36b7b,7f74c6e36b7b,7f74c8b29f40,2678,3505,826
7f74c6e326f8,7f74c6e326f8,7f74c86bc180,2732,3524,791
7f74c6e3267f,7f74c6e3267f,7f74cccf8fc0,3144,3583,438
7f74cfb5e54e,7f74c6e25ec4,7f7254170700,274,4096,3821
7f74c686f4f6,7f74c686f556,7f74c8677900,4147,4172,24
7f74c686f990,7f74c686f9a2,7f725416f980,4250,4256,5
7f74c686f9a3,7f74c686f9a5,7f725416f9c0,4258,4260,1
7f74c686f9a7,7f74c686f9a9,7f725416f9c0,4262,4264,1
7f74c686f9ab,7f74c686f9ac,7f725416f9c0,4266,4268,1
7f74c686f984,7f74c686f984,7f74c86778c0,4246,4620,373
7f74c686f997,7f74c686f997,7f74c8677900,4252,4626,373
7f74c686f9a3,7f74c686f9a7,7f725416f9c0,4632,4636,3
7f74c686f9ab,7f74c686f543,7f725416f9c0,4640,4686,45
7f74c686f549,7f74c686f54b,7f725416fa00,4691,4693,1
7f74c686f54d,7f74c686f54e,7f725416fa00,4695,4697,1
7f74c6e265e0,7f74c6e25eea,7f725416fa40,4700,4826,125
7f74c6e25f24,7f74c6e25f5f,7f725416fa40,4835,4844,8
7f74cfb5e54e,7f74c68708f7,7f7254170700,274,4910,4635
7f74cfb5e54e,7f74c6e25a96,7f7254170700,274,5271,4996
7f74c6e25eaf,7f74c6e25eaf,7f74cccf8140,4093,5620,1526
7f74c686f4f6,7f74c686f4f6,7f74c8677900,4147,5651,1503
7f74c6e25abc,7f74c6e25ae1,7f74c82a5fc0,5277,5734,456
7f74c6e25abf,7f74c6e25ae4,7f74c8412b80,5278,5735,456
7f74c6e25ac6,7f74c6e25aeb,7f74c8412d80,5279,5736,456
7f74c6fca231,7f74c6fca231,7f725416f940,5726,5840,113
7f74c6e25aee,7f74c6e25af2,7f725416f940,5843,5844,0
7f74c686f990,7f74c6e25b06,7f725416f980,4624,5851,1226
7f74c686f990,7f74c6e25b08,7f725416f980,4624,5853,1228
7f74c686f990,7f74c6e25b0a,7f725416f980,4624,5855,1230
7f74c686f990,7f74c6e25b0b,7f725416f980,4624,5857,1232
7f74c6e25b05,7f74c686f990,7f725416f940,5849,5942,92
7f74c686f9ab,7f74c686f9ac,7f725416f980,5958,5960,1
7f74c687093c,7f74c687093f,7f725416f980,5963,5964,0
7f74c686f990,7f74c6870946,7f725416f980,4624,5966,1341
7f74c687090a,7f74c6870971,7f74c8677940,4914,5978,1063
7f74c687097e,7f74c6870983,7f74c7965900,5981,5982,0
7f74c687099a,7f74c68709a3,7f74c7965900,5989,5992,2
7f74c686fc67,7f74c686fc73,7f725416f980,6058,6061,2
7f74c6870953,7f74c686fc9b,7f74c8b25500,5969,6073,103
7f74c686fca9,7f74c686fcaf,7f725416f9c0,6111,6113,1
7f74c686f547,7f74c686fcd4,7f725416f9c0,4689,6125,1435
7f74c686fcc0,7f74c686fcd8,7f74c8b30f00,6119,6126,6
7f74c686f547,7f74c686fcde,7f725416f9c0,4689,6128,1438
7f74c686fce8,7f74c686fcec,7f74c8b30f40,6131,6132,0
7f74c686f547,7f74c686fcf0,7f725416f9c0,4689,6133,1443
7f74c686fcac,7f74c686fcf3,7f74c8b25500,6112,6134,21
7f74c686f547,7f74c686fcf6,7f725416f9c0,4689,6135,1445
7f74c686f9a3,7f74c686fd04,7f725416f940,5950,6140,189
7f74c686fd2d,7f74c686fd3c,7f725416f9c0,6399,6403,3
7f74c686fcc0,7f74c686fce4,7f74c8b2fe80,6510,6521,10
7f74c686fce8,7f74c686fce8,7f74c8b2fec0,6522,6556,33
7f74c686fd04,7f74c686fd04,7f725416f940,6531,6565,33
7f74c686fd2d,7f74c686fd2d,7f725416f9c0,6537,6580,42
7f74c686fcc0,7f74c686fcc0,7f74c8b2fe80,6544,6587,42
7f74c6e25a92,7f74c6e25bd5,7f725416fac0,5270,7144,1873
7f74c6e265c0,7f74c6e265c0,7f74c8677880,5628,7402,1773
7f74c686fd95,7f74c686f9a3,7f725416f940,7044,7478,433
7f74c686f990,7f74c686f9ab,7f725416f980,4624,7486,2861
7f74c686f549,7f74c686f54d,7f725416fa00,7504,7508,3
7f74c6e25f66,7f74c6e265e0,7f725416fa40,4845,7513,2667
7f74c6e25f66,7f74c6e25f24,7f725416fa40,4845,7528,2682
7f74c6e25f2b,7f74c6e25f2b,7f74cccf8740,4836,7529,2692
7f74c6e25f66,7f74c6e25f66,7f725416fa40,4845,7538,2692
7f74c68709a8,7f74c687090a,7f74c8677940,5993,7569,1575
7f74c6e25a92,7f74c6e25a92,7f725416fac0,5270,7589,2318
7f74c6fca285,7f74c6fca286,7f725416f8c0,7698,7700,1
7f74c6fca288,7f74c6fca28a,7f725416f8c0,7702,7704,1
7f74c686fc8c,7f74c6fca28c,7f725416f900,6068,7706,1637
7f74c686fc8c,7f74c6fca28d,7f725416f900,6068,7708,1639
7f74c686fc8c,7f74c6e25c00,7f725416f900,6068,7717,1648
7f74c6e25bcb,7f74c6e25c0e,7f74c82a5fc0,7141,7721,579
7f74c686fc8c,7f74c6e25c11,7f725416f900,6068,7722,1653
7f74c686fc8c,7f74c6e25c13,7f725416f900,6068,7724,1655
7f74c6e25bdd,7f74c6e25c14,7f74c8412b80,7146,7726,579
7f74c6e25be4,7f74c6e25c1b,7f74c8412d40,7147,7727,579
7f74c686fc8c,7f74c6fca285,7f725416f900,6068,7831,1762
7f74c686fc8c,7f74c6fca288,7f725416f900,6068,7835,1766
7f74c686fc8c,7f74c6fca28d,7f725416f900,6068,7841,1772
7f74c686fd4f,7f74c686fd50,7f725416f940,8275,8277,1
7f74c686fd52,7f74c686fd54,7f725416f940,8279,8281,1
7f74c686fd58,7f74c686fd59,7f725416f980,8285,8287,1
7f74c68709c4,7f74c68709c5,7f725416f980,8290,8292,1
7f74c686f547,7f74c6870a00,7f725416f9c0,4689,8314,3624
7f74c6870a20,7f74c68709e1,7f725416f9c0,8386,8429,42
7f74c68709f4,7f74c68709f5,7f725416f9c0,8434,8436,1
7f74c68709f9,7f74c68709fb,7f725416fa00,8440,8442,1
7f74c68709fd,7f74c68709fe,7f725416fa00,8444,8446,1
