pc1,pc2,cacheline,op_num1,op_num2,distance
7ffff7da9e1f,7ffff7da9ea9,7ffff7dd5e40,45,69,23
7ffff7da9e92,7ffff7da9e92,7ffff7dd5f40,428,448,19
7ffff7da9ebf,7ffff7da9ecf,7ffff7dd6a40,911,917,5
7ffff7da9ecb,7ffff7da9eeb,7ffff7dd5e80,914,926,11
7ffff7da9edf,7ffff7da9eef,7ffff7dd6a40,923,929,5
7ffff7da9f0b,7ffff7da9f1b,7ffff7dd5f00,938,944,5
7ffff7da9efb,7ffff7da9f3b,7ffff7dd5e80,932,956,23
7ffff7da9f0f,7ffff7da9f3f,7ffff7dd6ac0,941,959,17
7ffff7da9eff,7ffff7da9f56,7ffff7dd6a40,935,965,29
7ffff7da9f2b,7ffff7da9f69,7ffff7dd5f40,950,969,18
7ffff7da9f62,7ffff7da9ebf,7ffff7dd6a40,968,1114,145
7ffff7da9edb,7ffff7da9edb,7ffff7dd5ec0,920,1123,202
7ffff7da9f62,7ffff7da9edf,7ffff7dd6a40,968,1126,157
7ffff7da9ecb,7ffff7da9efb,7ffff7dd5e80,1117,1135,17
7ffff7da9f62,7ffff7da9eff,7ffff7dd6a40,968,1138,169
7ffff7da9f4b,7ffff7da9f0b,7ffff7dd5f00,962,1141,178
7ffff7da9f1f,7ffff7da9f1f,7ffff7dd6b80,947,1150,202
7ffff7da9f2f,7ffff7da9f2f,7ffff7dd6c80,953,1156,202
7ffff7da9f4b,7ffff7da9f4b,7ffff7dd5f00,962,1165,202
7ffff7da9f62,7ffff7da9f62,7ffff7dd6a40,968,1171,202
7ffff7da9f74,7ffff7da9f74,7ffff7dd6b40,972,1175,202
7ffff7da9f8e,7ffff7da9f8e,7ffff7dd6b00,997,1178,180
7ffff7daa0b9,7ffff7daa0cb,7ffff7dd5f00,1347,1350,2
7ffff7daa0ef,7ffff7daa0ef,7ffff7dd6a00,1361,1444,82
7ffff7da9f0f,7ffff7daa0f6,7ffff7dd6ac0,1144,1445,300
7ffff7da9edb,7ffff7daa100,7ffff7dd5ec0,920,1447,526
7ffff7da9f4b,7ffff7daa104,7ffff7dd5f00,962,1448,485
