Scarab gitrev: 8729389
Scarab started at Wed Apr  2 03:42:30 2025

Initialized Ramulator. 
Op1 PC: 7f97f88c66f4	 Op2 PC: 7f97f88c66f4	 Op1 Cacheblock: 7f97f88d8ec0	 Op2 Cacheblock: 7f97f88d8ec0	 Op1 Offset: 40	 Op2 offset: 40	 Op1 base reg: 0	Op2 base reg: 0	Op1 micro-op id: 5144	Op2 micro-op id: 5390	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f97fc6f9f84	 Op2 PC: 7f97fc6f9f84	 Op1 Cacheblock: 7f97fc733f80	 Op2 Cacheblock: 7f97fc733f80	 Op1 Offset: 40	 Op2 offset: 40	 Op1 base reg: 0	Op2 base reg: 0	Op1 micro-op id: 5191	Op2 micro-op id: 5395	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f97fc6f9f8e	 Op2 PC: 7f97fc6f9f8e	 Op1 Cacheblock: 7f97fc6c8700	 Op2 Cacheblock: 7f97fc6c8700	 Op1 Offset: 40	 Op2 offset: 40	 Op1 base reg: 1	Op2 base reg: 1	Op1 micro-op id: 5193	Op2 micro-op id: 5397	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f97fc6f9f93	 Op2 PC: 7f97fc6f9f9e	 Op1 Cacheblock: 7f97f89316c0	 Op2 Cacheblock: 7f97f89316c0	 Op1 Offset: 4	 Op2 offset: 24	 Op1 base reg: 1	Op2 base reg: 1	Op1 micro-op id: 5398	Op2 micro-op id: 5401	Op1 mem size: 4	Op2 mem size: 8
Op1 PC: 7f97fc6f9fad	 Op2 PC: 7f97fc6f9fad	 Op1 Cacheblock: 7f97f8931700	 Op2 Cacheblock: 7f97f8931700	 Op1 Offset: 8	 Op2 offset: 8	 Op1 base reg: 6	Op2 base reg: 6	Op1 micro-op id: 5202	Op2 micro-op id: 5406	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f97f88c7811	 Op2 PC: 7f97fc6f9fd4	 Op1 Cacheblock: 7fff61638b00	 Op2 Cacheblock: 7fff61638b00	 Op1 Offset: 48	 Op2 offset: 8	 Op1 base reg: 8	Op2 base reg: 8	Op1 micro-op id: 5303	Op2 micro-op id: 5420	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f97f88c7819	 Op2 PC: 7f97f88c7819	 Op1 Cacheblock: 7fff61638d80	 Op2 Cacheblock: 7fff61638d80	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 1	Op2 base reg: 1	Op1 micro-op id: 5305	Op2 micro-op id: 5429	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f97f88c780d	 Op2 PC: 7f97f88c781c	 Op1 Cacheblock: 7fff61638c40	 Op2 Cacheblock: 7fff61638c40	 Op1 Offset: 40	 Op2 offset: 48	 Op1 base reg: 2	Op2 base reg: 2	Op1 micro-op id: 5426	Op2 micro-op id: 5430	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f97f88c7811	 Op2 PC: 7f97f88c7811	 Op1 Cacheblock: 7fff61638b00	 Op2 Cacheblock: 7fff61638b00	 Op1 Offset: 48	 Op2 offset: 48	 Op1 base reg: 8	Op2 base reg: 8	Op1 micro-op id: 5427	Op2 micro-op id: 5512	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f97fc6f9f93	 Op2 PC: 7f97fc6f9f93	 Op1 Cacheblock: 7f97f89316c0	 Op2 Cacheblock: 7f97f89316c0	 Op1 Offset: 4	 Op2 offset: 4	 Op1 base reg: 1	Op2 base reg: 1	Op1 micro-op id: 5483	Op2 micro-op id: 5568	Op1 mem size: 4	Op2 mem size: 4
Op1 PC: 7f97f88c780d	 Op2 PC: 7f97f88c780d	 Op1 Cacheblock: 7fff61638c40	 Op2 Cacheblock: 7fff61638c40	 Op1 Offset: 40	 Op2 offset: 40	 Op1 base reg: 2	Op2 base reg: 2	Op1 micro-op id: 5511	Op2 micro-op id: 5596	Op1 mem size: 8	Op2 mem size: 8
** Heartbeat:   1% -- { 1000003 } -- 0.00 KIPS (90.91 KIPS)
** Heartbeat:   2% -- { 2000006 } -- 83.33 KIPS (86.96 KIPS)
** Heartbeat:   3% -- { 3000009 } -- 90.91 KIPS (88.24 KIPS)
** Heartbeat:   4% -- { 4000010 } -- 90.91 KIPS (88.89 KIPS)
** Heartbeat:   5% -- { 5000014 } -- 90.91 KIPS (89.29 KIPS)
** Heartbeat:   6% -- { 6000017 } -- 90.91 KIPS (89.55 KIPS)
Op1 PC: 7f97fc6f9fdf	 Op2 PC: 7f97fc6f9fdf	 Op1 Cacheblock: 7fff61638b00	 Op2 Cacheblock: 7fff61638b00	 Op1 Offset: 8	 Op2 offset: 8	 Op1 base reg: 8	Op2 base reg: 8	Op1 micro-op id: 20055142	Op2 micro-op id: 20055193	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f97f88c78cb	 Op2 PC: 7f97f88c78cb	 Op1 Cacheblock: 7fff61638b00	 Op2 Cacheblock: 7fff61638b00	 Op1 Offset: 24	 Op2 offset: 24	 Op1 base reg: 8	Op2 base reg: 8	Op1 micro-op id: 20055198	Op2 micro-op id: 20055211	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f97fc70aa9f	 Op2 PC: 7f97fc70aaa4	 Op1 Cacheblock: 7f97fc6c8700	 Op2 Cacheblock: 7f97fc6c8700	 Op1 Offset: 32	 Op2 offset: 40	 Op1 base reg: 2	Op2 base reg: 2	Op1 micro-op id: 20055545	Op2 micro-op id: 20055546	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f97fc70aae0	 Op2 PC: 7f97fc70aaea	 Op1 Cacheblock: 7f97fc6c8700	 Op2 Cacheblock: 7f97fc6c8700	 Op1 Offset: 40	 Op2 offset: 48	 Op1 base reg: 2	Op2 base reg: 2	Op1 micro-op id: 20055579	Op2 micro-op id: 20055581	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f97fc70ab01	 Op2 PC: 7f97fc70ab0a	 Op1 Cacheblock: 7f97f8931580	 Op2 Cacheblock: 7f97f8931580	 Op1 Offset: 48	 Op2 offset: 48	 Op1 base reg: 13	Op2 base reg: 13	Op1 micro-op id: 20055743	Op2 micro-op id: 20055745	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f97fc70aad2	 Op2 PC: 7f97fc70aad3	 Op1 Cacheblock: 7fff61638ac0	 Op2 Cacheblock: 7fff61638ac0	 Op1 Offset: 48	 Op2 offset: 56	 Op1 base reg: 8	Op2 base reg: 8	Op1 micro-op id: 20055854	Op2 micro-op id: 20055856	Op1 mem size: 8	Op2 mem size: 8
