workload,0,1-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90-99,>100
clang,0,2310,421,160,124,142,120,131,111,191,170,139158
gcc,0,7941,1590,681,270,316,328,636,309,318,316,3319122
mongodb,0,25213,6000,2665,1648,1657,1896,1397,2251,2495,2323,6150520
mysql,0,18297,2761,568,449,677,698,658,719,958,997,2966457
postgres,0,7738,1273,439,309,367,382,332,421,539,491,1300214
