pc1,pc2,cacheline,op_num1,op_num2
7ffff7da9e1f,7ffff7da9ea9,7ffff7dd5e40,45,69
7ffff7da9e92,7ffff7da9e92,7ffff7dd5f40,428,448
7ffff7da9ebf,7ffff7da9ecf,7ffff7dd6a40,911,917
7ffff7da9ecb,7ffff7da9eeb,7ffff7dd5e80,914,926
7ffff7da9edf,7ffff7da9eef,7ffff7dd6a40,923,929
7ffff7da9f0b,7ffff7da9f1b,7ffff7dd5f00,938,944
7ffff7da9efb,7ffff7da9f3b,7ffff7dd5e80,932,956
7ffff7da9f0f,7ffff7da9f3f,7ffff7dd6ac0,941,959
7ffff7da9eff,7ffff7da9f56,7ffff7dd6a40,935,965
7ffff7da9f2b,7ffff7da9f69,7ffff7dd5f40,950,969
7ffff7da9f62,7ffff7da9ebf,7ffff7dd6a40,968,1114
7ffff7da9edb,7ffff7da9edb,7ffff7dd5ec0,920,1123
7ffff7da9f62,7ffff7da9edf,7ffff7dd6a40,968,1126
7ffff7da9ecb,7ffff7da9efb,7ffff7dd5e80,1117,1135
7ffff7da9f62,7ffff7da9eff,7ffff7dd6a40,968,1138
7ffff7da9f4b,7ffff7da9f0b,7ffff7dd5f00,962,1141
7ffff7da9f1f,7ffff7da9f1f,7ffff7dd6b80,947,1150
7ffff7da9f2f,7ffff7da9f2f,7ffff7dd6c80,953,1156
7ffff7da9f4b,7ffff7da9f4b,7ffff7dd5f00,962,1165
7ffff7da9f62,7ffff7da9f62,7ffff7dd6a40,968,1171
7ffff7da9f74,7ffff7da9f74,7ffff7dd6b40,972,1175
7ffff7da9f8e,7ffff7da9f8e,7ffff7dd6b00,997,1178
7ffff7daa0b9,7ffff7daa0cb,7ffff7dd5f00,1347,1350
7ffff7daa0ef,7ffff7daa0ef,7ffff7dd6a00,1361,1444
7ffff7da9f0f,7ffff7daa0f6,7ffff7dd6ac0,1144,1445
7ffff7da9edb,7ffff7daa100,7ffff7dd5ec0,920,1447
7ffff7da9f4b,7ffff7daa104,7ffff7dd5f00,962,1448
7ffff7daa0bd,7ffff7daa115,7ffff7dd6a40,1348,1453
7ffff7daa128,7ffff7daa12e,7ffff7da8b00,1458,1460
7ffff7daa138,7ffff7daa128,7ffff7da8b00,1463,1548
7ffff7daa138,7ffff7daa138,7ffff7da8b40,1564,1575
7ffff7da9f1f,7ffff7daa14b,7ffff7dd6b80,947,2210
7ffff7daa187,7ffff7daa18b,7ffff7da8ec0,2354,2355
7ffff7daa1b0,7ffff7daa1b5,7ffff7da85c0,2367,2368
7ffff7daa11c,7ffff7da9ecb,7ffff7dd5e80,1454,2423
7ffff7da9f0f,7ffff7da9f0f,7ffff7dd6ac0,1144,2450
7ffff7da9f2b,7ffff7da9f2b,7ffff7dd5f40,1153,2459
7ffff7da9fa8,7ffff7da9fa8,7ffff7dd6b00,1255,2487
