
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 0, 7fa26f9371f8, 7ffef79e5340, 8, 6, 1, 986

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 10, 7fa26f9371df, 7ffef79e5240, 8, 5, 1, 933
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 10, 7fa26f9371df, 7ffef79e5240, 8, 5, 1, 979

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 8, 7fa26f9371d5, 7ffef79e5100, 8, 8, 1, 930
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 8, 7fa26f9371d5, 7ffef79e5100, 8, 8, 1, 976

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 30, 7fa26f937222, 7fa270e50bc0, 8, 3, 1, 482
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 30, 7fa26f937236, 7fa270e50bc0, 8, 3, 1, 487

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 0, 7fa26f9371f8, 7ffef79e5340, 8, 6, 1, 468
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 10, 7fa26f937215, 7ffef79e5340, 8, 1, 1, 479

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 10, 7fa26f9371df, 7ffef79e5240, 8, 5, 1, 461
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 8, 7fa26f93720e, 7ffef79e5240, 8, 5, 1, 477

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 28, 7fa26f9371fe, 7fa26fe09300, 8, 3, 1, 470
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 28, 7fa26f937207, 7fa26fe09300, 8, 3, 1, 473

