
 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 18, 7f1e883a5c0a, 7f1e89d4dcc0, 8, 9, 2, 4958359
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 18, 7f1e883a5c2c, 7f1e89d4dcc0, 8, 6, 1, 4958369

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 0, 7f1e8b72a749, 7f1e89bce8c0, 8, 4, 1, 1796439
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 8, 7f1e883a5c0e, 7f1e89bce8c0, 8, 9, 2, 4958360

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 30, 7f1e883a5cf8, 7fff0d178cc0, 8, 13, 1, 4957810
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 10, 7f1e883a5c04, 7fff0d178cc0, 8, 4, 1, 4958357

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 10, 7f1e883a5d28, 7f1c39410000, 8, 1, 1, 4958315
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 10, 7f1e883a5d28, 7f1c39410000, 8, 1, 1, 4958336

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 28, 7f1e883a5cfc, 7fff0d178d00, 8, 1, 1, 4958303
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 28, 7f1e883a5cfc, 7fff0d178d00, 8, 1, 1, 4958324

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 30, 7f1e883a5cf8, 7fff0d178cc0, 8, 13, 1, 4957810
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 30, 7f1e883a5cf8, 7fff0d178cc0, 8, 13, 1, 4958323

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 30, 7f1e883a5cf8, 7fff0d178cc0, 8, 13, 1, 4958302
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 38, 7f1e883a5d23, 7fff0d178cc0, 8, 13, 1, 4958314

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 8, 7f1e8b72b857, 7f1e8a3ce8c0, 8, 15, 1, 1795899
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 20, 7f1e883a5d00, 7f1e8a3ce8c0, 8, 1, 2, 4958304

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 18, 7f1e883a5d00, 7f1e8a3ce8c0, 8, 1, 2, 4957812
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 10, 7f1e883a5d05, 7f1e8a3ce8c0, 8, 1, 2, 4957813

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 28, 7f1e8b9ffb37, 7fff0d178bc0, 8, 8, 1, 1775700
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 28, 7f1e883a5ce7, 7fff0d178bc0, 8, 8, 1, 4957793

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 28, 7f1e8b9ffb37, 7fff0d178bc0, 8, 8, 1, 1775700
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 18, 7f1e8c1ddfd4, 7fff0d178bc0, 8, 8, 1, 4957770

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 28, 7f1e8b9ffb37, 7fff0d178bc0, 8, 8, 1, 1775700
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 10, 7f1e8c1de791, 7fff0d178bc0, 8, 8, 1, 4957706

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 28, 7f1e8b9ffb37, 7fff0d178bc0, 8, 8, 1, 1775700
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 8, 7f1e8c1de78f, 7fff0d178bc0, 8, 8, 1, 4957704

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 28, 7f1e8b9ffb37, 7fff0d178bc0, 8, 8, 1, 1775700
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 0, 7f1e8c1de78d, 7fff0d178bc0, 8, 8, 1, 4957702

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 7, 7f1e8c1ed021, 7fff0d178b80, 1, 5, 1, 1806589
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 38, 7f1e8c1de78b, 7fff0d178b80, 8, 8, 1, 4957700

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 7, 7f1e8c1ed021, 7fff0d178b80, 1, 5, 1, 1806589
Offset, PC_addr_cand, cacheblock_addr_cand, mem_size_cand, base_reg_cand, num_reg_cand, micro_op_num_cand : 30, 7f1e8c1de78a, 7fff0d178b80, 8, 8, 1, 4957698

 Offset, PC_addr_curr, cacheblock_addr_curr, mem_size_curr, base_reg_curr, num_reg_curr, micro_op_num_curr : 7, 7f1e8c1ed021, 7fff0d178b80, 1, 5, 1, 1806589
