Scarab gitrev: ca2a290
Scarab started at Mon Mar 31 01:37:05 2025

Initialized Ramulator. 
Op1 PC: 7ffff7da9ea9	 Op2 PC: 7ffff7da9ea9	 Op1 Cacheblock: 7ffff7dd5e80	 Op2 Cacheblock: 7ffff7dd5e80	 Op1 base reg: 4	Op2 base reg: 4	Op1 micro-op id: 122	Op2 micro-op id: 129	Op1 mem size: 8	Op2 mem size: 8	Op1 reg-to-reg: 1	Op2 reg-to-reg: 1	Op1 reg-to-mem: 0	Op2 reg-to-mem: 0
Op1 PC: 7ffff7da9e92	 Op2 PC: 7ffff7da9e92	 Op1 Cacheblock: 7ffff7dd5f40	 Op2 Cacheblock: 7ffff7dd5f40	 Op1 base reg: 4	Op2 base reg: 4	Op1 micro-op id: 950	Op2 micro-op id: 970	Op1 mem size: 8	Op2 mem size: 8	Op1 reg-to-reg: 1	Op2 reg-to-reg: 1	Op1 reg-to-mem: 0	Op2 reg-to-mem: 0
Op1 PC: 7ffff7da9ebf	 Op2 PC: 7ffff7da9ecf	 Op1 Cacheblock: 7ffff7dd6a40	 Op2 Cacheblock: 7ffff7dd6a40	 Op1 base reg: 0	Op2 base reg: 0	Op1 micro-op id: 1433	Op2 micro-op id: 1439	Op1 mem size: 8	Op2 mem size: 8	Op1 reg-to-reg: 0	Op2 reg-to-reg: 0	Op1 reg-to-mem: 1	Op2 reg-to-mem: 1
Op1 PC: 7ffff7da9ecb	 Op2 PC: 7ffff7da9eeb	 Op1 Cacheblock: 7ffff7dd5e80	 Op2 Cacheblock: 7ffff7dd5e80	 Op1 base reg: 1	Op2 base reg: 1	Op1 micro-op id: 1436	Op2 micro-op id: 1448	Op1 mem size: 8	Op2 mem size: 8	Op1 reg-to-reg: 1	Op2 reg-to-reg: 1	Op1 reg-to-mem: 0	Op2 reg-to-mem: 0
Op1 PC: 7ffff7da9edf	 Op2 PC: 7ffff7da9eef	 Op1 Cacheblock: 7ffff7dd6a40	 Op2 Cacheblock: 7ffff7dd6a40	 Op1 base reg: 0	Op2 base reg: 0	Op1 micro-op id: 1445	Op2 micro-op id: 1451	Op1 mem size: 8	Op2 mem size: 8	Op1 reg-to-reg: 0	Op2 reg-to-reg: 0	Op1 reg-to-mem: 1	Op2 reg-to-mem: 1
Op1 PC: 7ffff7da9f0b	 Op2 PC: 7ffff7da9f1b	 Op1 Cacheblock: 7ffff7dd5f00	 Op2 Cacheblock: 7ffff7dd5f00	 Op1 base reg: 1	Op2 base reg: 1	Op1 micro-op id: 1460	Op2 micro-op id: 1466	Op1 mem size: 8	Op2 mem size: 8	Op1 reg-to-reg: 1	Op2 reg-to-reg: 1	Op1 reg-to-mem: 0	Op2 reg-to-mem: 0
Op1 PC: 7ffff7da9efb	 Op2 PC: 7ffff7da9f3b	 Op1 Cacheblock: 7ffff7dd5e80	 Op2 Cacheblock: 7ffff7dd5e80	 Op1 base reg: 1	Op2 base reg: 1	Op1 micro-op id: 1454	Op2 micro-op id: 1478	Op1 mem size: 8	Op2 mem size: 8	Op1 reg-to-reg: 1	Op2 reg-to-reg: 1	Op1 reg-to-mem: 0	Op2 reg-to-mem: 0
Op1 PC: 7ffff7da9f0f	 Op2 PC: 7ffff7da9f3f	 Op1 Cacheblock: 7ffff7dd6ac0	 Op2 Cacheblock: 7ffff7dd6ac0	 Op1 base reg: 0	Op2 base reg: 0	Op1 micro-op id: 1463	Op2 micro-op id: 1481	Op1 mem size: 8	Op2 mem size: 8	Op1 reg-to-reg: 0	Op2 reg-to-reg: 0	Op1 reg-to-mem: 1	Op2 reg-to-mem: 1
Op1 PC: 7ffff7da9eff	 Op2 PC: 7ffff7da9f56	 Op1 Cacheblock: 7ffff7dd6a40	 Op2 Cacheblock: 7ffff7dd6a40	 Op1 base reg: 0	Op2 base reg: 0	Op1 micro-op id: 1457	Op2 micro-op id: 1487	Op1 mem size: 8	Op2 mem size: 8	Op1 reg-to-reg: 0	Op2 reg-to-reg: 0	Op1 reg-to-mem: 1	Op2 reg-to-mem: 1
Op1 PC: 7ffff7da9f62	 Op2 PC: 7ffff7da9ebf	 Op1 Cacheblock: 7ffff7dd6a40	 Op2 Cacheblock: 7ffff7dd6a40	 Op1 base reg: 0	Op2 base reg: 0	Op1 micro-op id: 1490	Op2 micro-op id: 1651	Op1 mem size: 8	Op2 mem size: 8	Op1 reg-to-reg: 0	Op2 reg-to-reg: 0	Op1 reg-to-mem: 1	Op2 reg-to-mem: 1
Op1 PC: 7ffff7da9edb	 Op2 PC: 7ffff7da9edb	 Op1 Cacheblock: 7ffff7dd5ec0	 Op2 Cacheblock: 7ffff7dd5ec0	 Op1 base reg: 1	Op2 base reg: 1	Op1 micro-op id: 1442	Op2 micro-op id: 1660	Op1 mem size: 8	Op2 mem size: 8	Op1 reg-to-reg: 1	Op2 reg-to-reg: 1	Op1 reg-to-mem: 0	Op2 reg-to-mem: 0
