bin,count,percentage
0,0,0.00
1-9,112,28.50
10-19,5,1.27
20-29,2,0.51
30-39,1,0.25
40-49,6,1.53
50-59,3,0.76
60-69,2,0.51
70-79,4,1.02
80-89,11,2.80
90-99,11,2.80
>100,236,60.05
