bin,count,percentage
0,0,0.00
1-9,978,36.48
10-19,75,2.80
20-29,14,0.52
30-39,12,0.45
40-49,27,1.01
50-59,22,0.82
60-69,22,0.82
70-79,19,0.71
80-89,32,1.19
90-99,33,1.23
>100,1447,53.97
