bin,count,percentage
0,0,0.00
1-9,374,40.65
10-19,15,1.63
20-29,4,0.43
30-39,4,0.43
40-49,12,1.30
50-59,8,0.87
60-69,5,0.54
70-79,7,0.76
80-89,4,0.43
90-99,6,0.65
>100,481,52.28
