bin,count,percentage
0,0,0.00
1-9,430,35.42
10-19,54,4.45
20-29,8,0.66
30-39,6,0.49
40-49,9,0.74
50-59,9,0.74
60-69,14,1.15
70-79,8,0.66
80-89,16,1.32
90-99,14,1.15
>100,646,53.21
