distance
408
597
644
7241
68
2
2
1253
1950
4412
2
2
258811
2
2
224
4
926
10490
2
100
2
2
52228
2
4289749
416
113
14
230
18532
4131
3513
2
2
10411
998
30
2
16393
2
483
483
9
993
1041673
2
2642
224
559
59
431
147
2
114242
6
1986
8619
771209
23488
507
427
4653
2074
1010823
53
147
122
11785
2
914
2
2
2
2
2
2
2
96
4
2
2
86
3631
2
2
2
2
2
2
526
81836
353
2166
11489
386
1468
110
2
40075
9
305
2
2
2
3211
2
2
2
2
2566
2
2
2
1227
2
606
428
9709
118567
469
487
2064
1284
2
1
65787
1399
104414
406
2
2
1058618
3
8908
291
4020
104
2
6992
2
2
228
90
2
1762
2
1109
2
694
2
2
108
262
