distance
7916
6361
58533
22615
28862
57124
25014
1758
34229
1725
20577
66
3118296
60159
25623
1984601
69829
121015
15760
5778539
34067
31120
331
6600
2061
6
2
5
2
115
56
2
4
2
4
84734
2
527
47
2
11485
54
361152
772
31982
1181
330
2
4923
2
2
2
46111040
1
86
230
803
12
20
7
5
28
44
448
4
328
2165
29300
209
1462
549
13802
8587741
569
2281
1200
2
674
188
46151630
2
918
2
2
9026802
181769
531
121
114
322
273
46
123
66459
4191
57324
46
14
36
2
409495
46157638
2
919
100
14942
2
358
2102
8
2
15639
152
3
2
1
1081
46151686
298
2
2
7
2
474
60646
2
5
2
92535
2
2
284551
2
675
27
2
2
2
4
545
2596
3
433527
2
119435
2
2
1979
5
2
2
2
69354
2
526
46182033
2
95
97
95
104900
2
2
50
134
6
43
3649
220
2
46092
37
22630
2
419997
2
8440741
3019
64853
6
2
2
1262
2
2
248
2
922
49
46
189
3455
998
2
152
2
2
7
1249
264
2
507
2
2
142
2
339197
8
529
8347186
46160536
3
14125
2
286
917
2
49
175
11
2715
74
56901
7279
2
120
112746
3912
89
2
46155697
220
2
3928
2
2
1651
128
2
887
336
2464
2
76
2
5
2
282
505
2
2992
292
224258
4157
2
2
2
218
2
8671090
46145947
2
66453
814
196952
132552
7729
26592
557
27690
2
2
2
1347
3
10926
436
335
5917
2200
5
2505
2
2
2
1619
6159
2
2
141
2
46110120
2
33663
2
2
9676
2
88434
2
2
2
2
354
2
5
2
2213
2
2
114032
1827
80556
13794
4
588
4
36733
2
1454
20913
2
2
89
367
2
5
2
2
520
500
2438
1028
2
47226
6
2
2
226
9
2
46160694
501
2
3
2
5
2
604
9397
2
21146
112
80530
3393
774
679
2
14
16
488
11
2
2
177
2
849
2
2
830
2
2
742
1460
2
738
793
2
2
741
2
2
9
272
13
75
779
1557
8
1588
2
280314
54674274
2
2
10538
2
1707
687
149
750
725
733
1537
749
8572
15141
2
2
2
2
2
2
164101
508
2
721
131
1
1413
5816
2
2
2
2
2
951
154
562
1065
4
141328
8646030
3
2
5667
58
2
2
790
2
2
2
1355
2
2
2
3
1
1
30105
2
122
124
51
1148
453
17653
89786
421
62
107
122
106954
2
22643
2901
149989
45957304
2
2
13380
16337
2
2
248
2
467
1329
134616
2
2
2
602
2
4197
2
2
2
52
254
2
893
14544
2
3
2
54963771
9836
2
2
2147
2
2
2
2
2
2
39525
2
2
4
96
6674
8425921
3
5
9164990
129
2
253035
2
2
187
9
9762
2
2
2
2
2
8842
14284
495
1549
9318
11338
5
2
1215
2
292477
2
2
2
55165267
1451
2
2
219
674
101
2623
135
684
413
4007
333
2
2
65
2
17307
6636
3
5551
3
104
2684
3
8602
1921
113
8114
8439668
58424
3168276
926
268
2
2
4218
10409
2
2
21931
83
2
2
93894
2
2
145
2
1231
2
9922
2
2
2
63639851
2
60
2
2
14
11242
305
459
802
1
6
5070
2
2
2
2
2
2
18182
2
54709426
3727
19626
1
2
268
28974
37634
2
2
2
102439
19505
1392842
5504
3798
2
36977
3371
2
2
42267403
159901
8649592
37019
14262
1106789
11
2
2913
2
2
2
527
8598984
2
2
6
2653725
13410
90
664
143
368570
360
875326
2
2
2
2
2
2
3309
2
17980
2
2
11739
146
2
2
47
8500592
6546
2553879
8964
9360
147
2877
77
732
12
1990
2
2
2
2
2
2
1141
127
8500458
101
155
16
5
26
375
64
20137
2
449
2
2
31309
2
2
2
89256
9
2
2
2
2
1111
2
851489
2
2
2
2019
6
346
2
2
8618659
1984
238998
1075
3202
1005
9058
50921473
431
2
2
192739
1879
11153141
33290
2225
6
5
5064
421971
40
174
247650
55
1688
2
2
378558
750876
75027
7762016
8648588
50
73418
2
777
8017
79
1012
784
2
410
154063
2
2
2
2
14
623642
2346
1028
246
10
1214161
8894537
127876
221970
2
594
5571
11970
358710
109823
2034
43017851
182
179891
5715
2
277
4959
92959
2
2
4
1185
2
2
492
4
236
4
9881
14591
4912
55265
774
2
25872
25799
306775
2
2438
192
349
3
8458
91
337429
2
66189
888693
2
495289
14450
5108047
2058113
163556
996
1047
72
8115
2
155
3
2
647
6431
74
44
12759
2
2
693
205
181
374
11887
977
52248035
2
2
2
2
306
2
2
2
2
2
18727
2
2
2
2
2
703306
116
16152
47594821
247
34
624
5
675
2
2
11000
2
5577
2
410
2
125527
11
2
2
2
1637625
2
4287
2
3692
46
2
2
2
11
183
311
30
357
158
18463
