bin,count,percentage
0,0,0.00
1-9,62,40.26
10-19,1,0.65
20-29,0,0.00
30-39,1,0.65
40-49,0,0.00
50-59,2,1.30
60-69,1,0.65
70-79,0,0.00
80-89,1,0.65
90-99,2,1.30
>100,84,54.55
