ON_CRITICAL_PATH_pct,         -nan
ON_CRITICAL_PATH_total_count,             0
ON_CRITICAL_PATH_total_pct,         -nan
ON_CRITICAL_PATH_sum_count,             0
ON_CRITICAL_PATH_sum_pct,         -nan
ON_CRITICAL_PATH_sum_total_count,             0
ON_CRITICAL_PATH_sum_total_pct,         -nan
ON_CRITICAL_PATH_mean,         -nan
ON_CRITICAL_PATH_stddev,         -nan
ON_CRITICAL_PATH_total_mean,         -nan
ON_CRITICAL_PATH_total_stddev,         -nan

LD_NO_DEPENDENTS_count,      23964314
LD_NO_DEPENDENTS_pct,       97.553
LD_NO_DEPENDENTS_total_count,      23964314
LD_NO_DEPENDENTS_total_pct,       97.553

LD_DEPENDENTS_count,        601074
LD_DEPENDENTS_pct,        2.447
LD_DEPENDENTS_total_count,        601074
LD_DEPENDENTS_total_pct,        2.447
LD_DEPENDENTS_sum_count,      24565388
LD_DEPENDENTS_sum_pct,      100.000
LD_DEPENDENTS_sum_total_count,      24565388
LD_DEPENDENTS_sum_total_pct,      100.000
LD_DEPENDENTS_mean,         0.02
LD_DEPENDENTS_stddev,         0.15
LD_DEPENDENTS_total_mean,         0.02
LD_DEPENDENTS_total_stddev,         0.15

LD_EXEC_CYCLES_0_count,             0
LD_EXEC_CYCLES_0_pct,        0.000
LD_EXEC_CYCLES_0_total_count,             0
LD_EXEC_CYCLES_0_total_pct,        0.000

LD_EXEC_CYCLES_1_count,             0
LD_EXEC_CYCLES_1_pct,        0.000
LD_EXEC_CYCLES_1_total_count,             0
LD_EXEC_CYCLES_1_total_pct,        0.000

LD_EXEC_CYCLES_2_count,             0
LD_EXEC_CYCLES_2_pct,        0.000
LD_EXEC_CYCLES_2_total_count,             0
LD_EXEC_CYCLES_2_total_pct,        0.000

LD_EXEC_CYCLES_3_count,         14776
LD_EXEC_CYCLES_3_pct,       49.646
LD_EXEC_CYCLES_3_total_count,         14776
LD_EXEC_CYCLES_3_total_pct,       49.646

LD_EXEC_CYCLES_4_count,         14987
LD_EXEC_CYCLES_4_pct,       50.354
LD_EXEC_CYCLES_4_total_count,         14987
LD_EXEC_CYCLES_4_total_pct,       50.354
LD_EXEC_CYCLES_4_sum_count,         29763
LD_EXEC_CYCLES_4_sum_pct,      100.000
LD_EXEC_CYCLES_4_sum_total_count,         29763
LD_EXEC_CYCLES_4_sum_total_pct,      100.000
LD_EXEC_CYCLES_4_mean,         3.50
LD_EXEC_CYCLES_4_stddev,         2.54
LD_EXEC_CYCLES_4_total_mean,         3.50
LD_EXEC_CYCLES_4_total_stddev,         2.54

ICACHE_STAGE_STARVED_count,          3733
ICACHE_STAGE_STARVED_pct,        0.016
ICACHE_STAGE_STARVED_total_count,          3733
ICACHE_STAGE_STARVED_total_pct,        0.016

ICACHE_STAGE_NOT_STARVED_count,      23233304
ICACHE_STAGE_NOT_STARVED_pct,       99.984
ICACHE_STAGE_NOT_STARVED_total_count,      23233304
ICACHE_STAGE_NOT_STARVED_total_pct,       99.984
ICACHE_STAGE_NOT_STARVED_sum_count,      23237037
ICACHE_STAGE_NOT_STARVED_sum_pct,      100.000
ICACHE_STAGE_NOT_STARVED_sum_total_count,      23237037
ICACHE_STAGE_NOT_STARVED_sum_total_pct,      100.000
ICACHE_STAGE_NOT_STARVED_mean,         1.00
ICACHE_STAGE_NOT_STARVED_stddev,         1.00
ICACHE_STAGE_NOT_STARVED_total_mean,         1.00
ICACHE_STAGE_NOT_STARVED_total_stddev,         1.00

ICACHE_STAGE_STALLED_count,      63569386
ICACHE_STAGE_STALLED_pct,       45.660
ICACHE_STAGE_STALLED_total_count,      63569386
ICACHE_STAGE_STALLED_total_pct,       45.660

ICACHE_STAGE_NOT_STALLED_count,      23235175
ICACHE_STAGE_NOT_STALLED_pct,       16.689
ICACHE_STAGE_NOT_STALLED_total_count,      23235175
ICACHE_STAGE_NOT_STALLED_total_pct,       16.689

ICACHE_STAGE_OFF_PATH_count,      52420020
ICACHE_STAGE_OFF_PATH_pct,       37.651
ICACHE_STAGE_OFF_PATH_total_count,      52420020
ICACHE_STAGE_OFF_PATH_total_pct,       37.651
ICACHE_STAGE_OFF_PATH_sum_count,     139224581
ICACHE_STAGE_OFF_PATH_sum_pct,      100.000
ICACHE_STAGE_OFF_PATH_sum_total_count,     139224581
ICACHE_STAGE_OFF_PATH_sum_total_pct,      100.000
ICACHE_STAGE_OFF_PATH_mean,         0.92
ICACHE_STAGE_OFF_PATH_stddev,         0.87
