bin,count,percentage
0,0,0.00
1-10,1279,5.64
11-20,223,0.98
21-30,194,0.86
31-40,130,0.57
41-50,149,0.66
51-60,146,0.64
61-70,124,0.55
71-80,204,0.90
81-90,156,0.69
91-100,93,0.41
101-999,2653,11.69
1000-9999,3071,13.54
>10000,14263,62.87
