bin,count,percentage
0,0,0.00
1-10,2237,25.31
11-20,257,2.91
21-30,81,0.92
31-40,62,0.70
41-50,83,0.94
51-60,87,0.98
61-70,97,1.10
71-80,87,0.98
81-90,159,1.80
91-100,86,0.97
101-999,2196,24.84
1000-9999,1069,12.09
>10000,2338,26.45
