Scarab gitrev: f116de3
Scarab started at Sun Mar 30 13:17:17 2025

Initialized Ramulator. 
Op1 PC: 7ffff7da9f2f	 Op2 PC: 7ffff7da9f2f	 Op1 Cacheblock: 7ffff7dd6c80	 Op2 Cacheblock: 7ffff7dd6c80	 Op1 Offset: 8	 Op2 offset: 8	 Op1 base reg: 0	Op2 base reg: 0	Op1 micro-op id: 953	Op2 micro-op id: 1156	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7ffff7da9f4b	 Op2 PC: 7ffff7da9f4b	 Op1 Cacheblock: 7ffff7dd5f00	 Op2 Cacheblock: 7ffff7dd5f00	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 4	Op2 base reg: 4	Op1 micro-op id: 962	Op2 micro-op id: 1165	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7ffff7da9f62	 Op2 PC: 7ffff7da9f62	 Op1 Cacheblock: 7ffff7dd6a40	 Op2 Cacheblock: 7ffff7dd6a40	 Op1 Offset: 48	 Op2 offset: 48	 Op1 base reg: 0	Op2 base reg: 0	Op1 micro-op id: 968	Op2 micro-op id: 1171	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7ffff7da9f74	 Op2 PC: 7ffff7da9f74	 Op1 Cacheblock: 7ffff7dd6b40	 Op2 Cacheblock: 7ffff7dd6b40	 Op1 Offset: 32	 Op2 offset: 32	 Op1 base reg: 0	Op2 base reg: 0	Op1 micro-op id: 972	Op2 micro-op id: 1175	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7ffff7da9f8e	 Op2 PC: 7ffff7da9f8e	 Op1 Cacheblock: 7ffff7dd6b00	 Op2 Cacheblock: 7ffff7dd6b00	 Op1 Offset: 24	 Op2 offset: 24	 Op1 base reg: 0	Op2 base reg: 0	Op1 micro-op id: 997	Op2 micro-op id: 1178	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7ffff7daa0b9	 Op2 PC: 7ffff7daa0cb	 Op1 Cacheblock: 7ffff7dd5f00	 Op2 Cacheblock: 7ffff7dd5f00	 Op1 Offset: 32	 Op2 offset: 48	 Op1 base reg: 1	Op2 base reg: 1	Op1 micro-op id: 1347	Op2 micro-op id: 1350	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7ffff7daa0ef	 Op2 PC: 7ffff7daa0ef	 Op1 Cacheblock: 7ffff7dd6a00	 Op2 Cacheblock: 7ffff7dd6a00	 Op1 Offset: 56	 Op2 offset: 56	 Op1 base reg: 0	Op2 base reg: 0	Op1 micro-op id: 1361	Op2 micro-op id: 1444	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7ffff7da9f0f	 Op2 PC: 7ffff7daa0f6	 Op1 Cacheblock: 7ffff7dd6ac0	 Op2 Cacheblock: 7ffff7dd6ac0	 Op1 Offset: 32	 Op2 offset: 32	 Op1 base reg: 0	Op2 base reg: 0	Op1 micro-op id: 1144	Op2 micro-op id: 1445	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7ffff7da9edb	 Op2 PC: 7ffff7daa100	 Op1 Cacheblock: 7ffff7dd5ec0	 Op2 Cacheblock: 7ffff7dd5ec0	 Op1 Offset: 32	 Op2 offset: 48	 Op1 base reg: 1	Op2 base reg: 4	Op1 micro-op id: 920	Op2 micro-op id: 1447	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7ffff7da9f4b	 Op2 PC: 7ffff7daa104	 Op1 Cacheblock: 7ffff7dd5f00	 Op2 Cacheblock: 7ffff7dd5f00	 Op1 Offset: 0	 Op2 offset: 16	 Op1 base reg: 4	Op2 base reg: 9	Op1 micro-op id: 962	Op2 micro-op id: 1448	Op1 mem size: 8	Op2 mem size: 8
