Scarab gitrev: f116de3
Scarab started at Sun Mar 30 13:19:37 2025

Initialized Ramulator. 
Op1 PC: 7f717e70d01b	 Op2 PC: 7f717e70d01b	 Op1 Cacheblock: 7f717e77e680	 Op2 Cacheblock: 7f717e77e680	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 1	Op2 base reg: 1	Op1 micro-op id: 1596	Op2 micro-op id: 1620	Op1 mem size: 4	Op2 mem size: 4
Op1 PC: 7f7180b9bb62	 Op2 PC: 7f7180b9bb62	 Op1 Cacheblock: 7f7180cf5800	 Op2 Cacheblock: 7f7180cf5800	 Op1 Offset: 32	 Op2 offset: 32	 Op1 base reg: 0	Op2 base reg: 0	Op1 micro-op id: 1605	Op2 micro-op id: 1629	Op1 mem size: 0	Op2 mem size: 0
Op1 PC: 7f717e920374	 Op2 PC: 7f717e920374	 Op1 Cacheblock: 7f717e925080	 Op2 Cacheblock: 7f717e925080	 Op1 Offset: 24	 Op2 offset: 24	 Op1 base reg: 0	Op2 base reg: 0	Op1 micro-op id: 1721	Op2 micro-op id: 1897	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f717e920020	 Op2 PC: 7f717e920026	 Op1 Cacheblock: 7f717e925000	 Op2 Cacheblock: 7f717e925000	 Op1 Offset: 8	 Op2 offset: 16	 Op1 base reg: 0	Op2 base reg: 0	Op1 micro-op id: 2146	Op2 micro-op id: 2149	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f7181884c31	 Op2 PC: 7f7181884c35	 Op1 Cacheblock: 7fff1ea3f140	 Op2 Cacheblock: 7fff1ea3f140	 Op1 Offset: 48	 Op2 offset: 40	 Op1 base reg: 2	Op2 base reg: 2	Op1 micro-op id: 2593	Op2 micro-op id: 2594	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f718187d0d2	 Op2 PC: 7f718187d0e9	 Op1 Cacheblock: 7f718189e6c0	 Op2 Cacheblock: 7f718189e6c0	 Op1 Offset: 24	 Op2 offset: 32	 Op1 base reg: 7	Op2 base reg: 11	Op1 micro-op id: 2606	Op2 micro-op id: 2611	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f718187d0ed	 Op2 PC: 7f718187d0f1	 Op1 Cacheblock: 7f717e91f040	 Op2 Cacheblock: 7f717e91f040	 Op1 Offset: 16	 Op2 offset: 8	 Op1 base reg: 9	Op2 base reg: 9	Op1 micro-op id: 2612	Op2 micro-op id: 2613	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f718187d0d6	 Op2 PC: 7f718187d0f4	 Op1 Cacheblock: 7f717e924e80	 Op2 Cacheblock: 7f717e924e80	 Op1 Offset: 0	 Op2 offset: 16	 Op1 base reg: 1	Op2 base reg: 1	Op1 micro-op id: 2607	Op2 micro-op id: 2614	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f7180bea0be	 Op2 PC: 7f718187d15d	 Op1 Cacheblock: 7f717e172ec0	 Op2 Cacheblock: 7f717e172ec0	 Op1 Offset: 48	 Op2 offset: 24	 Op1 base reg: 0	Op2 base reg: 0	Op1 micro-op id: 40	Op2 micro-op id: 2640	Op1 mem size: 8	Op2 mem size: 4
Op1 PC: 7f718187d11b	 Op2 PC: 7f718187d172	 Op1 Cacheblock: 7f717e91e580	 Op2 Cacheblock: 7f717e91e580	 Op1 Offset: 13	 Op2 offset: 8	 Op1 base reg: 4	Op2 base reg: 4	Op1 micro-op id: 2624	Op2 micro-op id: 2644	Op1 mem size: 1	Op2 mem size: 4
Op1 PC: 7f71818780eb	 Op2 PC: 7f718187812c	 Op1 Cacheblock: 7f717e91e980	 Op2 Cacheblock: 7f717e91e980	 Op1 Offset: 53	 Op2 offset: 54	 Op1 base reg: 7	Op2 base reg: 3	Op1 micro-op id: 2710	Op2 micro-op id: 2726	Op1 mem size: 1	Op2 mem size: 1
Op1 PC: 7f7181878146	 Op2 PC: 7f7181878166	 Op1 Cacheblock: 7fff1ea3e640	 Op2 Cacheblock: 7fff1ea3e640	 Op1 Offset: 8	 Op2 offset: 24	 Op1 base reg: 8	Op2 base reg: 8	Op1 micro-op id: 3086	Op2 micro-op id: 3094	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f7181878158	 Op2 PC: 7f718187816b	 Op1 Cacheblock: 7fff1ea3e700	 Op2 Cacheblock: 7fff1ea3e700	 Op1 Offset: 16	 Op2 offset: 40	 Op1 base reg: 8	Op2 base reg: 13	Op1 micro-op id: 3091	Op2 micro-op id: 3201	Op1 mem size: 1	Op2 mem size: 8
Op1 PC: 7f7181878196	 Op2 PC: 7f71818781c3	 Op1 Cacheblock: 7fff1ea3e640	 Op2 Cacheblock: 7fff1ea3e640	 Op1 Offset: 32	 Op2 offset: 16	 Op1 base reg: 8	Op2 base reg: 8	Op1 micro-op id: 3210	Op2 micro-op id: 3249	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f718187816f	 Op2 PC: 7f71818781d5	 Op1 Cacheblock: 7fff1ea3e700	 Op2 Cacheblock: 7fff1ea3e700	 Op1 Offset: 24	 Op2 offset: 24	 Op1 base reg: 8	Op2 base reg: 8	Op1 micro-op id: 3202	Op2 micro-op id: 3258	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f71818781c7	 Op2 PC: 7f71818781e7	 Op1 Cacheblock: 7fff1ea3e640	 Op2 Cacheblock: 7fff1ea3e640	 Op1 Offset: 56	 Op2 offset: 8	 Op1 base reg: 8	Op2 base reg: 8	Op1 micro-op id: 3252	Op2 micro-op id: 3265	Op1 mem size: 4	Op2 mem size: 8
Op1 PC: 7f71818774dd	 Op2 PC: 7f71818774ea	 Op1 Cacheblock: 7fff1ea3e600	 Op2 Cacheblock: 7fff1ea3e600	 Op1 Offset: 16	 Op2 offset: 40	 Op1 base reg: 8	Op2 base reg: 8	Op1 micro-op id: 3325	Op2 micro-op id: 3327	Op1 mem size: 8	Op2 mem size: 8
Op1 PC: 7f71818774d4	 Op2 PC: 7f7181877512	 Op1 Cacheblock: 7f718189b440	 Op2 Cacheblock: 7f718189b440	 Op1 Offset: 24	 Op2 offset: 16	 Op1 base reg: 10	Op2 base reg: 10	Op1 micro-op id: 3323	Op2 micro-op id: 3335	Op1 mem size: 4	Op2 mem size: 8
