Scarab gitrev: 3e29641
Scarab started at Tue Apr  8 05:34:02 2025

Initialized Ramulator. 
Op1 PC: 7f97fc6f9f9e, Op2 PC: 7f97fc6f9fa2, Op1 Cacheline: 7f97f89316c0, Op2 Cacheline: 7f97f89316c0, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 1, Op2 Base reg: 1
Op1 PC: 7f97fc6f9fd4, Op2 PC: 7f97f88c7808, Op1 Cacheline: 7fff61638b00, Op2 Cacheline: 7fff61638b00, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 8, Op2 Base reg: 8
Op1 PC: 7f97f88c780d, Op2 PC: 7f97f88c7816, Op1 Cacheline: 7fff61638c40, Op2 Cacheline: 7fff61638c40, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 2, Op2 Base reg: 2
Op1 PC: 7f97f88c781c, Op2 PC: 7f97f88c7828, Op1 Cacheline: 7fff61638c40, Op2 Cacheline: 7fff61638c40, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 2, Op2 Base reg: 2
Op1 PC: 7f97f88c66f4, Op2 PC: 7f97f88c66f4, Op1 Cacheline: 7f97f88d8ec0, Op2 Cacheline: 7f97f88d8ec0, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 0, Op2 Base reg: 0
Op1 PC: 7f97fc6f9f84, Op2 PC: 7f97fc6f9f84, Op1 Cacheline: 7f97fc733f80, Op2 Cacheline: 7f97fc733f80, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 0, Op2 Base reg: 0
Op1 PC: 7f97fc6f9f8e, Op2 PC: 7f97fc6f9f8e, Op1 Cacheline: 7f97fc6c8700, Op2 Cacheline: 7f97fc6c8700, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 1, Op2 Base reg: 1
Op1 PC: 7f97fc6f9f93, Op2 PC: 7f97fc6f9f9e, Op1 Cacheline: 7f97f89316c0, Op2 Cacheline: 7f97f89316c0, Op1 Mem size: 4, Op2 Mem size: 8, Op1 Base reg: 1, Op2 Base reg: 1
Op1 PC: 7f97fc6f9fad, Op2 PC: 7f97fc6f9fad, Op1 Cacheline: 7f97f8931700, Op2 Cacheline: 7f97f8931700, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 6, Op2 Base reg: 6
Op1 PC: 7f97f88c7811, Op2 PC: 7f97fc6f9fd4, Op1 Cacheline: 7fff61638b00, Op2 Cacheline: 7fff61638b00, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 8, Op2 Base reg: 8
Op1 PC: 7f97f88c7819, Op2 PC: 7f97f88c7819, Op1 Cacheline: 7fff61638d80, Op2 Cacheline: 7fff61638d80, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 1, Op2 Base reg: 1
Op1 PC: 7f97f88c780d, Op2 PC: 7f97f88c781c, Op1 Cacheline: 7fff61638c40, Op2 Cacheline: 7fff61638c40, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 2, Op2 Base reg: 2
Op1 PC: 7f97f88c7811, Op2 PC: 7f97f88c7811, Op1 Cacheline: 7fff61638b00, Op2 Cacheline: 7fff61638b00, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 8, Op2 Base reg: 8
Op1 PC: 7f97fc6f9f93, Op2 PC: 7f97fc6f9f93, Op1 Cacheline: 7f97f89316c0, Op2 Cacheline: 7f97f89316c0, Op1 Mem size: 4, Op2 Mem size: 4, Op1 Base reg: 1, Op2 Base reg: 1
Op1 PC: 7f97f88c780d, Op2 PC: 7f97f88c780d, Op1 Cacheline: 7fff61638c40, Op2 Cacheline: 7fff61638c40, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 2, Op2 Base reg: 2
** Heartbeat:   1% -- { 1000003 } -- 0.00 KIPS (83.33 KIPS)
** Heartbeat:   2% -- { 2000006 } -- 90.91 KIPS (86.96 KIPS)
** Heartbeat:   3% -- { 3000009 } -- 90.91 KIPS (88.24 KIPS)
** Heartbeat:   4% -- { 4000010 } -- 90.91 KIPS (88.89 KIPS)
** Heartbeat:   5% -- { 5000014 } -- 83.33 KIPS (87.72 KIPS)
** Heartbeat:   6% -- { 6000017 } -- 90.91 KIPS (88.24 KIPS)
Op1 PC: 7f97fc6f9fdf, Op2 PC: 7f97fc6f9fdf, Op1 Cacheline: 7fff61638b00, Op2 Cacheline: 7fff61638b00, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 8, Op2 Base reg: 8
Op1 PC: 7f97f88c78cb, Op2 PC: 7f97f88c78cb, Op1 Cacheline: 7fff61638b00, Op2 Cacheline: 7fff61638b00, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 8, Op2 Base reg: 8
Op1 PC: 7f97fc70aa9f, Op2 PC: 7f97fc70aaa4, Op1 Cacheline: 7f97fc6c8700, Op2 Cacheline: 7f97fc6c8700, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 2, Op2 Base reg: 2
Op1 PC: 7f97fc70aae0, Op2 PC: 7f97fc70aaea, Op1 Cacheline: 7f97fc6c8700, Op2 Cacheline: 7f97fc6c8700, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 2, Op2 Base reg: 2
Op1 PC: 7f97fc70ab01, Op2 PC: 7f97fc70ab0a, Op1 Cacheline: 7f97f8931580, Op2 Cacheline: 7f97f8931580, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 13, Op2 Base reg: 13
Op1 PC: 7f97fc70aad2, Op2 PC: 7f97fc70aad3, Op1 Cacheline: 7fff61638ac0, Op2 Cacheline: 7fff61638ac0, Op1 Mem size: 8, Op2 Mem size: 8, Op1 Base reg: 8, Op2 Base reg: 8
