ON_CRITICAL_PATH_pct,         -nan
ON_CRITICAL_PATH_total_count,             0
ON_CRITICAL_PATH_total_pct,         -nan
ON_CRITICAL_PATH_sum_count,             0
ON_CRITICAL_PATH_sum_pct,         -nan
ON_CRITICAL_PATH_sum_total_count,             0
ON_CRITICAL_PATH_sum_total_pct,         -nan
ON_CRITICAL_PATH_mean,         -nan
ON_CRITICAL_PATH_stddev,         -nan
ON_CRITICAL_PATH_total_mean,         -nan
ON_CRITICAL_PATH_total_stddev,         -nan

LD_NO_DEPENDENTS_count,        433034
LD_NO_DEPENDENTS_pct,        8.854
LD_NO_DEPENDENTS_total_count,        433034
LD_NO_DEPENDENTS_total_pct,        8.854

LD_DEPENDENTS_count,       4458069
LD_DEPENDENTS_pct,       91.146
LD_DEPENDENTS_total_count,       4458069
LD_DEPENDENTS_total_pct,       91.146
LD_DEPENDENTS_sum_count,       4891103
LD_DEPENDENTS_sum_pct,      100.000
LD_DEPENDENTS_sum_total_count,       4891103
LD_DEPENDENTS_sum_total_pct,      100.000
LD_DEPENDENTS_mean,         0.91
LD_DEPENDENTS_stddev,         0.87
LD_DEPENDENTS_total_mean,         0.91
LD_DEPENDENTS_total_stddev,         0.87

LD_EXEC_CYCLES_0_count,             0
LD_EXEC_CYCLES_0_pct,        0.000
LD_EXEC_CYCLES_0_total_count,             0
LD_EXEC_CYCLES_0_total_pct,        0.000

LD_EXEC_CYCLES_1_count,             0
LD_EXEC_CYCLES_1_pct,        0.000
LD_EXEC_CYCLES_1_total_count,             0
LD_EXEC_CYCLES_1_total_pct,        0.000

LD_EXEC_CYCLES_2_count,             0
LD_EXEC_CYCLES_2_pct,        0.000
LD_EXEC_CYCLES_2_total_count,             0
LD_EXEC_CYCLES_2_total_pct,        0.000

LD_EXEC_CYCLES_3_count,           897
LD_EXEC_CYCLES_3_pct,       54.862
LD_EXEC_CYCLES_3_total_count,           897
LD_EXEC_CYCLES_3_total_pct,       54.862

LD_EXEC_CYCLES_4_count,           738
LD_EXEC_CYCLES_4_pct,       45.138
LD_EXEC_CYCLES_4_total_count,           738
LD_EXEC_CYCLES_4_total_pct,       45.138
LD_EXEC_CYCLES_4_sum_count,          1635
LD_EXEC_CYCLES_4_sum_pct,      100.000
LD_EXEC_CYCLES_4_sum_total_count,          1635
LD_EXEC_CYCLES_4_sum_total_pct,      100.000
LD_EXEC_CYCLES_4_mean,         3.45
LD_EXEC_CYCLES_4_stddev,         2.37
LD_EXEC_CYCLES_4_total_mean,         3.45
LD_EXEC_CYCLES_4_total_stddev,         2.37

ICACHE_STAGE_STARVED_count,        175686
ICACHE_STAGE_STARVED_pct,        2.394
ICACHE_STAGE_STARVED_total_count,        175686
ICACHE_STAGE_STARVED_total_pct,        2.394

ICACHE_STAGE_NOT_STARVED_count,       7163944
ICACHE_STAGE_NOT_STARVED_pct,       97.606
ICACHE_STAGE_NOT_STARVED_total_count,       7163944
ICACHE_STAGE_NOT_STARVED_total_pct,       97.606
ICACHE_STAGE_NOT_STARVED_sum_count,       7339630
ICACHE_STAGE_NOT_STARVED_sum_pct,      100.000
ICACHE_STAGE_NOT_STARVED_sum_total_count,       7339630
ICACHE_STAGE_NOT_STARVED_sum_total_pct,      100.000
ICACHE_STAGE_NOT_STARVED_mean,         0.98
ICACHE_STAGE_NOT_STARVED_stddev,         0.96
ICACHE_STAGE_NOT_STARVED_total_mean,         0.98
ICACHE_STAGE_NOT_STARVED_total_stddev,         0.96

ICACHE_STAGE_STALLED_count,       6156113
ICACHE_STAGE_STALLED_pct,       40.264
ICACHE_STAGE_STALLED_total_count,       6156113
ICACHE_STAGE_STALLED_total_pct,       40.264

ICACHE_STAGE_NOT_STALLED_count,       7260281
ICACHE_STAGE_NOT_STALLED_pct,       47.485
ICACHE_STAGE_NOT_STALLED_total_count,       7260281
ICACHE_STAGE_NOT_STALLED_total_pct,       47.485

ICACHE_STAGE_OFF_PATH_count,       1873102
ICACHE_STAGE_OFF_PATH_pct,       12.251
ICACHE_STAGE_OFF_PATH_total_count,       1873102
ICACHE_STAGE_OFF_PATH_total_pct,       12.251
ICACHE_STAGE_OFF_PATH_sum_count,      15289496
ICACHE_STAGE_OFF_PATH_sum_pct,      100.000
ICACHE_STAGE_OFF_PATH_sum_total_count,      15289496
ICACHE_STAGE_OFF_PATH_sum_total_pct,      100.000
ICACHE_STAGE_OFF_PATH_mean,         0.72
ICACHE_STAGE_OFF_PATH_stddev,         0.55
