op1_pc,op2_pc,distance
7f97f88c78f8,7f97fbc4d806,2349
7f97f88c78f8,7f97fbc4d808,2351
7f97f88c78f8,7f97fbc4d80a,2353
7f97fbc5045a,7f97fbc5045b,2
7f97f88c988b,7f97f88c9891,1
7f97fbc4d7ed,7f97fbea60fa,200
7fff617847f4,7fff61784801,3
7fff6178481a,7fff6178482d,6
7fff6178486a,7fff6178486c,2
7fff6178486e,7fff61784870,2
7fff61784872,7fff61784873,2
7f97fbc5045c,7f97fbea6112,899
7f97fbc5045c,7f97fbea611a,901
7f97fbc5045c,7f97fbea611f,903
7f97fbc5045c,7f97fbea6133,908
7fff617846f1,7fff61784869,33
7fff6178486a,7fff6178486e,4
7fff61784872,7f97fbc90677,9
7fff6178486a,7fff61784872,8
7f97f88c9839,7f97f88c983e,1
7f97f88c64b4,7f97f88c64b4,246
7f97fbea6133,7f97fbd5aa3f,524898
7f97f88c988b,7f97f88c988b,524882
7f97fbe72b14,7f97fbe72b14,525128
7f97fbc90654,7f97fbc90654,525128
7f97fbc9065b,7f97fbc9065b,525128
7f97fc6ffa41,7f97fc6ffa43,4
7f97fc70aa98,7f97fc6ff7ec,529679
7f97fc6ff819,7f97fc6ff860,45
7f97fc6ff864,7f97fc6ff86c,2
7f97f88c78f8,7f97fc6ff85b,529810
7f97f88c78f8,7f97fc6ff85c,529812
7f97f88c78f8,7f97fc6ff85d,529814
7f97f88c78f8,7f97fc6ff85f,529816
7f97fc6ffa37,7f97fc6ffa37,529
7f97fbc5045c,7f97fc6ffa41,527486
7f97fc70aa98,7f97fc708c5e,530216
7f97fbc50c9a,7f97fbc50c9a,69
7f97fbc4c89e,7f97fbc4c89e,83
7f97fbc4c89e,7f97fbc4c8bb,91
7f97fbc4c969,7f97fbc4c96e,1
7f97fbc4c79f,7f97fbc4c865,46
7f97fbc4c854,7f97fbc4c92f,39
7f97fbc4c743,7f97fbc4c743,145
7f97fbc4c79f,7f97fbc4c824,7
7f97fbc4c840,7f97fbc4c840,55
7f97fbc4c969,7f97fbc4c969,55
7f97fbc4c92f,7f97fbc4c854,491
7f97fbc4c89e,7f97fbc4c8ee,921
7f97fbc4c79f,7f97fbc4c79f,228
7f97fbc4c969,7f97fbc4c969,278
7f97fbc4c79f,7f97fbc4c79f,295
7f97fbc4c79f,7f97fbc4c824,420
7f97fbc4c833,7f97fbc4c835,2
7f97fbc4c837,7f97fbc4c839,2
7f97fbc4ee64,7f97fbc4eea0,13
7f97fbc4ee5c,7f97fbc4eeb6,20
7f97fbc4ef12,7f97fbc4ef29,5
7f97fbc4f1ab,7f97fbc4f1bc,4
7f97fbc4efb7,7f97fbc4efc7,8
7f97fbc4f231,7f97fbc4f253,366
7f97fbc4efc0,7f97fbc4f26a,470
7f97fbc503fe,7f97fbc4c770,533534
7f97fbc4c79f,7f97fbc4f62f,4
7f97fbc4f21b,7f97fbc4f63e,1248
7f97fbc4f5fe,7f97fbc4f5fe,204
7f97fbc4f602,7f97fbc4f602,204
7f97fbc4d882,7f97fbc4f6b6,532809
7f97fbc4f633,7f97fbc4c79f,249
7f97fbc4f081,7f97fbc4f082,2
7f97fbc4f084,7f97fbc4f086,2
7f97fbc4f088,7f97fbc4f08a,2
7f97fbc4d81a,7f97fbc4d81a,533214
7f97fbc4d874,7f97fbc4d874,533055
7f97fbc4d882,7f97fbc4d882,533055
7f97fbc4c743,7f97fbc4d8ed,3385
7f97fbc4d716,7f97fbc4d71f,61
7f97fbc4d74b,7f97fbc4d74b,68
7f97fbc4de50,7f97fbc4de50,68
7f97fbc4d857,7f97fbc4d857,68
7f97fbc4d81a,7f97fbc4d7a2,533368
7f97fbc4d808,7f97fbc4d80a,2
7f97fbc4eea7,7f97fbc4d716,3141
7f97fbc4d726,7f97fbc4d726,647
7f97fbc4d73b,7f97fbc4d73b,647
7f97fbc4d76f,7f97fbc4d76f,574
7f97fbc4d808,7f97fbc4d808,80
7f97fbc4d80a,7f97fbc4fe6f,5
7f97fbc4fe70,7f97fbc4fe71,2
7f97fbc4fe73,7f97fbc4fe75,2
7f97fbc4fe77,7f97fbc4fe79,2
7f97fbc50d4c,7f97fbc50d4d,2
7f97fbc50d4e,7f97fbc50d50,2
7f97fbc50d52,7f97fc6f88ee,5
7f97fc6f88ef,7f97fc70a6d4,69
7f97fc70a6d5,7f97fc70a6d6,2
7f97fc708c97,7f97fc708dc4,105
7f97f88c78f8,7f97fc708dc5,536067
7f97f88c78f8,7f97fc708dc6,536069
7f97f88c78f8,7f97fc708dc8,536071
7f97f88c78f8,7f97fc708dca,536073
7f97fc708f8d,7f97fc708fd2,115
7f97fc708fe9,7f97fc708ff0,1
7f97fbc4f080,7f97fc701f00,1641
7f97f88c78df,7f97fc709394,536619
7f97fc7093a7,7f97fc7093a8,2
7f97fc7093aa,7f97fc7093ac,2
7f97fc7093ae,7f97fc7093b0,2
7f97f88c78df,7f97f88c77c2,536745
7f97fc708e73,7f97fc70a781,1059
7f97fc70a249,7f97fc70a788,541
7f97fc70a249,7f97fc70a796,544
7f97fc70a6d5,7f97fc70a7ea,8
7f97fc70a7eb,7f97fc70a7ec,2
7f97fc70a7ee,7f97fc70a7f0,2
7f97fc708e73,7f97fc6fa7a0,1170
7f97fc6fa7ab,7f97fc6fa7b6,2
7f97fc6fa818,7f97fc6fa818,43
7f97fc6fa82a,7f97fc6fa82a,43
7f97fc6fa789,7f97fc6fa78a,2
7f97fc6fa78b,7f97fc6fa78d,2
7fff617846f1,7f97fc6fa791,534540
7f97f88c6584,7f97f88c6584,29645187
7f97fc708e73,7f97fc70aa98,29108426
7f97fc70aaef,7f97fc70aaef,29644887
7f97fc6fa78f,7f97fc70aad2,29106965
7fff61784869,7f97fc70aad4,29641362
7f97f88c78d5,7f97f88c78d5,29644626
7fff61784869,7f97f88c78da,29641370
7f97f88c78df,7f97f88c78df,29644626
7f97fc7093b1,7f97f88c78ee,29107995
7f97fc7093b1,7f97f88c78f0,29107999
7f97fc7093b1,7f97f88c78f4,29108003
7f97fc7093b1,7f97f88c78f8,29108007
7f97fc70a249,7f97fc70a249,29108072
7f97fc70a2cb,7f97fc70a2cb,29644008
7f97fbc5045c,7f97fc70a320,29642501
7f97fbc5045c,7f97fc70a323,29642505
7f97fbc5045c,7f97fc70a327,29642509
7f97fbc503f7,7f97fbc503f7,29643847
7f97fbc4ee47,7f97fbc50409,29112369
7f97fbc4eea7,7f97fbc4d716,29112396
7f97fbc4d74b,7f97fbc4d74b,29109960
7f97fbc5045c,7f97fbc5045a,29642675
7f97fbc5045c,7f97fbc5045c,29642679
7fff61784869,7fff617846f1,29642176
7fff617847f4,7fff6178481a,21
7f97fc70a31f,7fff6178486a,29644464
7fff617847f4,7fff617847f4,103
7f97fbc5045c,7f97fbea6133,29643354
7f97fc708dd0,7f97fc708dd0,29115950
7f97fbc4d74b,7f97fbc4eb0f,29110991
7f97fbc4f633,7f97fbc4c833,29111459
7f97fbc4f633,7f97fbc4c837,29111463
7f97fbc4eea7,7f97fbc4ee64,29113527
7f97fbc4eea7,7f97fbc4eea7,29113541
7f97fbc4ef02,7f97fbc4ef02,29113541
7f97fbc4f080,7f97fbc4f1d8,29111327
7f97fbc4f633,7f97fbc4efb7,29111598
7f97fbc4f21b,7f97fbc4f21b,29112861
7f97fbc4ebc8,7f97fbc4ebc8,384
7f97fbc4ee47,7f97fbc4ee47,886
7f97fbc4ef12,7f97fbc4ef12,886
