Scarab gitrev: 988ee1c
Scarab started at Sun Mar 23 12:40:36 2025

Initialized Ramulator. 
Micro-op 1: 7ffff7db50c4	Micro-op 2: 7ffff7db50cc	 Cacheblock Address: 7ffff7da83c0
Micro-op 1: 7ffff7db50cf	Micro-op 2: 7ffff7db50eb	 Cacheblock Address: 7ffff7da83c0
Micro-op 1: 7ffff7dc473e	Micro-op 2: 7ffff7dc474b	 Cacheblock Address: 7fffffffd200
Micro-op 1: 7ffff7dc474b	Micro-op 2: 7ffff7dc474b	 Cacheblock Address: 7fffffffd2c0
Micro-op 1: 7ffff7dc47b4	Micro-op 2: 7ffff7dc47d8	 Cacheblock Address: 7ffff7dd5e40
Micro-op 1: 7ffff7dc47e9	Micro-op 2: 7ffff7dc47f5	 Cacheblock Address: 7ffff7dd5640
Micro-op 1: 7ffff7dc48f8	Micro-op 2: 7ffff7dc490a	 Cacheblock Address: 7fffffffd2c0
Micro-op 1: 7ffff7dc481a	Micro-op 2: 7ffff7dc481a	 Cacheblock Address: 7ffff7dcc840
Micro-op 1: 7ffff7dc48f8	Micro-op 2: 7ffff7dc48f8	 Cacheblock Address: 7fffffffd2c0
Micro-op 1: 7ffff7dc49c0	Micro-op 2: 7ffff7dc49c0	 Cacheblock Address: 7fffffffd300
Micro-op 1: 7ffff7dc49d1	Micro-op 2: 7ffff7dc49d1	 Cacheblock Address: 7fffffffd300
Micro-op 1: 7ffff7dc4a30	Micro-op 2: 7ffff7dc4a34	 Cacheblock Address: 7fffffffd300
Micro-op 1: 7ffff7dc4a30	Micro-op 2: 7ffff7dc4a30	 Cacheblock Address: 7fffffffd300
Micro-op 1: 7ffff7dc4998	Micro-op 2: 7ffff7dc49a8	 Cacheblock Address: 7fffffffd300
Micro-op 1: 7ffff7dc4998	Micro-op 2: 7ffff7dc4998	 Cacheblock Address: 7fffffffd300
Micro-op 1: 7ffff7dc4a70	Micro-op 2: 7ffff7dc4a74	 Cacheblock Address: 7fffffffd300
Micro-op 1: 7ffff7dc4a70	Micro-op 2: 7ffff7dc4a70	 Cacheblock Address: 7fffffffd300
Micro-op 1: 7ffff7dc4840	Micro-op 2: 7ffff7dc4840	 Cacheblock Address: 7fffffffd340
Micro-op 1: 7ffff7dc4a50	Micro-op 2: 7ffff7dc4a54	 Cacheblock Address: 7fffffffd340
Micro-op 1: 7ffff7dc4a50	Micro-op 2: 7ffff7dc4a50	 Cacheblock Address: 7fffffffd340
Micro-op 1: 7ffff7dc4a10	Micro-op 2: 7ffff7dc4a14	 Cacheblock Address: 7fffffffd380
Micro-op 1: 7ffff7dc4a10	Micro-op 2: 7ffff7dc4a10	 Cacheblock Address: 7fffffffd380
Micro-op 1: 7ffff7dc4948	Micro-op 2: 7ffff7dc494c	 Cacheblock Address: 7fffffffd3c0
Micro-op 1: 7ffff7dc4948	Micro-op 2: 7ffff7dc4948	 Cacheblock Address: 7fffffffd3c0
Micro-op 1: 7ffff7dc4828	Micro-op 2: 7ffff7dc4920	 Cacheblock Address: 7fffffffd3c0
Micro-op 1: 7ffff7dc4828	Micro-op 2: 7ffff7dc4932	 Cacheblock Address: 7fffffffd3c0
Micro-op 1: 7ffff7dc49e8	Micro-op 2: 7ffff7dc49ec	 Cacheblock Address: 7fffffffd400
Micro-op 1: 7ffff7dc487d	Micro-op 2: 7ffff7dc488f	 Cacheblock Address: 7fffffffc980
Micro-op 1: 7ffff7dc4884	Micro-op 2: 7ffff7dc4896	 Cacheblock Address: 7fffffffc940
Micro-op 1: 7ffff7dc48a2	Micro-op 2: 7ffff7dc48a9	 Cacheblock Address: 7fffffffc980
Micro-op 1: 7ffff7dc48b3	Micro-op 2: 7ffff7dc48c6	 Cacheblock Address: 7fffffffc980
Micro-op 1: 7ffff7dc49e8	Micro-op 2: 7ffff7dc49e8	 Cacheblock Address: 7fffffffd400
Micro-op 1: 7ffff7dc487d	Micro-op 2: 7ffff7dc48a2	 Cacheblock Address: 7fffffffc980
Micro-op 1: 7ffff7dc48b3	Micro-op 2: 7ffff7dc48cd	 Cacheblock Address: 7fffffffc980
Micro-op 1: 7ffff7dc48d9	Micro-op 2: 7ffff7dc48e4	 Cacheblock Address: 7fffffffc980
Micro-op 1: 7ffff7dc2096	Micro-op 2: 7ffff7dc20b8	 Cacheblock Address: 7fffffffe140
Micro-op 1: 7ffff7dc2138	Micro-op 2: 7ffff7dc213e	 Cacheblock Address: 7ffff7dd58c0
Micro-op 1: 7ffff7dc2138	Micro-op 2: 7ffff7dc2138	 Cacheblock Address: 7ffff7dd5900
Micro-op 1: 7ffff7dc2147	Micro-op 2: 7ffff7dc2147	 Cacheblock Address: 7ffff7dcdc00
Micro-op 1: 7ffff7dc2174	Micro-op 2: 7ffff7dc2174	 Cacheblock Address: 7fffffffe140
Micro-op 1: 7ffff7dc211b	Micro-op 2: 7ffff7dc211b	 Cacheblock Address: 7fffffffe140
Micro-op 1: 7ffff7dc2089	Micro-op 2: 7ffff7dc2089	 Cacheblock Address: 7fffffffd200
Micro-op 1: 7ffff7dc2096	Micro-op 2: 7ffff7dc2096	 Cacheblock Address: 7fffffffe200
Micro-op 1: 7ffff7dc2122	Micro-op 2: 7ffff7dc2122	 Cacheblock Address: 7ffff7dd5e40
Micro-op 1: 7ffff7dc2164	Micro-op 2: 7ffff7dc2164	 Cacheblock Address: 7ffff7dcdcc0
Micro-op 1: 7ffff7dc219f	Micro-op 2: 7ffff7dc21a0	 Cacheblock Address: 7fffffffc940
Micro-op 1: 7ffff7dc21a2	Micro-op 2: 7ffff7dc21a4	 Cacheblock Address: 7fffffffc940
Micro-op 1: 7ffff7dc21a6	Micro-op 2: 7ffff7dc21a8	 Cacheblock Address: 7fffffffc940
Micro-op 1: 7ffff7dc43c5	Micro-op 2: 7ffff7dc43d7	 Cacheblock Address: 7ffff7dd56c0
Micro-op 1: 7ffff7dc4715	Micro-op 2: 7ffff7dc4715	 Cacheblock Address: 7fffffffca80
Micro-op 1: 7ffff7dc4755	Micro-op 2: 7ffff7dc4755	 Cacheblock Address: 7fffffffd2c0
Micro-op 1: 7ffff7dc2065	Micro-op 2: 7ffff7dc47b4	 Cacheblock Address: 7ffff7dd5e40
Micro-op 1: 7ffff7dc47cc	Micro-op 2: 7ffff7dc47cc	 Cacheblock Address: 7ffff7dd5600
Micro-op 1: 7ffff7dc47e9	Micro-op 2: 7ffff7dc47ff	 Cacheblock Address: 7ffff7dd5640
Micro-op 1: 7ffff7dc43bc	Micro-op 2: 7ffff7dc487d	 Cacheblock Address: 7fffffffc980
Micro-op 1: 7ffff7dc4884	Micro-op 2: 7ffff7dc4884	 Cacheblock Address: 7fffffffc940
Micro-op 1: 7ffff7dc48b3	Micro-op 2: 7ffff7dc48d9	 Cacheblock Address: 7fffffffc980
Micro-op 1: 7ffff7dc2065	Micro-op 2: 7ffff7dc2065	 Cacheblock Address: 7ffff7dd5e40
Micro-op 1: 7ffff7dc219e	Micro-op 2: 7ffff7dc219e	 Cacheblock Address: 7fffffffc900
Micro-op 1: 7ffff7dc4884	Micro-op 2: 7ffff7dc219f	 Cacheblock Address: 7fffffffc940
Micro-op 1: 7ffff7dc4884	Micro-op 2: 7ffff7dc21a2	 Cacheblock Address: 7fffffffc940
Micro-op 1: 7ffff7dc4884	Micro-op 2: 7ffff7dc21a6	 Cacheblock Address: 7fffffffc940
Micro-op 1: 7ffff7dc441c	Micro-op 2: 7ffff7dc4561	 Cacheblock Address: 7ffff7dd5680
Micro-op 1: 7ffff7dc4550	Micro-op 2: 7ffff7dc456a	 Cacheblock Address: 7ffff7dd56c0
Micro-op 1: 7ffff7dc4593	Micro-op 2: 7ffff7dc45bb	 Cacheblock Address: 7ffff7dd5680
Micro-op 1: 7ffff7dc473e	Micro-op 2: 7ffff7dc473e	 Cacheblock Address: 7fffffffd200
Micro-op 1: 7ffff7dc479c	Micro-op 2: 7ffff7dc479c	 Cacheblock Address: 7ffff7dd5780
Micro-op 1: 7ffff7dc4655	Micro-op 2: 7ffff7dc4677	 Cacheblock Address: 7ffff7dd5680
Micro-op 1: 7ffff7dc4655	Micro-op 2: 7ffff7dc4655	 Cacheblock Address: 7ffff7dd5680
Micro-op 1: 7ffff7dc47c0	Micro-op 2: 7ffff7dc47c0	 Cacheblock Address: 7ffff7dd57c0
Micro-op 1: 7ffff7dc4655	Micro-op 2: 7ffff7dc4474	 Cacheblock Address: 7ffff7dd5680
Micro-op 1: 7ffff7dc4655	Micro-op 2: 7ffff7dc4593	 Cacheblock Address: 7ffff7dd5680
Micro-op 1: 7ffff7dc4655	Micro-op 2: 7ffff7dc45d8	 Cacheblock Address: 7ffff7dd5680
Micro-op 1: 7ffff7dc4441	Micro-op 2: 7ffff7dc45ea	 Cacheblock Address: 7ffff7dd56c0
