Scarab gitrev: 988ee1c
Scarab started at Sun Mar 23 12:45:26 2025

Initialized Ramulator. 
Micro-op 1: 7f74c686f54d	Micro-op 2: 7f74c686f54e	 Cacheblock Address: 7f725416fa00
Micro-op 1: 7f74c6e265e0	Micro-op 2: 7f74c6e25eea	 Cacheblock Address: 7f725416fa40
Micro-op 1: 7f74c6e25f24	Micro-op 2: 7f74c6e25f5f	 Cacheblock Address: 7f725416fa40
Micro-op 1: 7f74cfb5e54e	Micro-op 2: 7f74c68708f7	 Cacheblock Address: 7f7254170700
Micro-op 1: 7f74cfb5e54e	Micro-op 2: 7f74c6e25a96	 Cacheblock Address: 7f7254170700
Micro-op 1: 7f74c6e25eaf	Micro-op 2: 7f74c6e25eaf	 Cacheblock Address: 7f74cccf8140
Micro-op 1: 7f74c686f4f6	Micro-op 2: 7f74c686f4f6	 Cacheblock Address: 7f74c8677900
Micro-op 1: 7f74c6e25abc	Micro-op 2: 7f74c6e25ae1	 Cacheblock Address: 7f74c82a5fc0
Micro-op 1: 7f74c6e25abf	Micro-op 2: 7f74c6e25ae4	 Cacheblock Address: 7f74c8412b80
Micro-op 1: 7f74c6e25ac6	Micro-op 2: 7f74c6e25aeb	 Cacheblock Address: 7f74c8412d80
Micro-op 1: 7f74c6fca231	Micro-op 2: 7f74c6fca231	 Cacheblock Address: 7f725416f940
Micro-op 1: 7f74c6e25aee	Micro-op 2: 7f74c6e25af2	 Cacheblock Address: 7f725416f940
Micro-op 1: 7f74c686f990	Micro-op 2: 7f74c6e25b06	 Cacheblock Address: 7f725416f980
Micro-op 1: 7f74c686f990	Micro-op 2: 7f74c6e25b08	 Cacheblock Address: 7f725416f980
Micro-op 1: 7f74c686f990	Micro-op 2: 7f74c6e25b0a	 Cacheblock Address: 7f725416f980
Micro-op 1: 7f74c686f990	Micro-op 2: 7f74c6e25b0b	 Cacheblock Address: 7f725416f980
Micro-op 1: 7f74c6e25b05	Micro-op 2: 7f74c686f990	 Cacheblock Address: 7f725416f940
Micro-op 1: 7f74c686f9ab	Micro-op 2: 7f74c686f9ac	 Cacheblock Address: 7f725416f980
Micro-op 1: 7f74c687093c	Micro-op 2: 7f74c687093f	 Cacheblock Address: 7f725416f980
Micro-op 1: 7f74c686f990	Micro-op 2: 7f74c6870946	 Cacheblock Address: 7f725416f980
Micro-op 1: 7f74c687090a	Micro-op 2: 7f74c6870971	 Cacheblock Address: 7f74c8677940
Micro-op 1: 7f74c687097e	Micro-op 2: 7f74c6870983	 Cacheblock Address: 7f74c7965900
Micro-op 1: 7f74c687099a	Micro-op 2: 7f74c68709a3	 Cacheblock Address: 7f74c7965900
Micro-op 1: 7f74c686fc67	Micro-op 2: 7f74c686fc73	 Cacheblock Address: 7f725416f980
Micro-op 1: 7f74c6870953	Micro-op 2: 7f74c686fc9b	 Cacheblock Address: 7f74c8b25500
Micro-op 1: 7f74c686fca9	Micro-op 2: 7f74c686fcaf	 Cacheblock Address: 7f725416f9c0
Micro-op 1: 7f74c686f547	Micro-op 2: 7f74c686fcd4	 Cacheblock Address: 7f725416f9c0
Micro-op 1: 7f74c686fcc0	Micro-op 2: 7f74c686fcd8	 Cacheblock Address: 7f74c8b30f00
Micro-op 1: 7f74c686f547	Micro-op 2: 7f74c686fcde	 Cacheblock Address: 7f725416f9c0
Micro-op 1: 7f74c686fce8	Micro-op 2: 7f74c686fcec	 Cacheblock Address: 7f74c8b30f40
Micro-op 1: 7f74c686f547	Micro-op 2: 7f74c686fcf0	 Cacheblock Address: 7f725416f9c0
Micro-op 1: 7f74c686fcac	Micro-op 2: 7f74c686fcf3	 Cacheblock Address: 7f74c8b25500
Micro-op 1: 7f74c686f547	Micro-op 2: 7f74c686fcf6	 Cacheblock Address: 7f725416f9c0
Micro-op 1: 7f74c686f9a3	Micro-op 2: 7f74c686fd04	 Cacheblock Address: 7f725416f940
Micro-op 1: 7f74c686fd2d	Micro-op 2: 7f74c686fd3c	 Cacheblock Address: 7f725416f9c0
Micro-op 1: 7f74c686fcc0	Micro-op 2: 7f74c686fce4	 Cacheblock Address: 7f74c8b2fe80
Micro-op 1: 7f74c686fce8	Micro-op 2: 7f74c686fce8	 Cacheblock Address: 7f74c8b2fec0
Micro-op 1: 7f74c686fd04	Micro-op 2: 7f74c686fd04	 Cacheblock Address: 7f725416f940
Micro-op 1: 7f74c686fd2d	Micro-op 2: 7f74c686fd2d	 Cacheblock Address: 7f725416f9c0
Micro-op 1: 7f74c686fcc0	Micro-op 2: 7f74c686fcc0	 Cacheblock Address: 7f74c8b2fe80
Micro-op 1: 7f74c6e25a92	Micro-op 2: 7f74c6e25bd5	 Cacheblock Address: 7f725416fac0
Micro-op 1: 7f74c6e265c0	Micro-op 2: 7f74c6e265c0	 Cacheblock Address: 7f74c8677880
Micro-op 1: 7f74c686fd95	Micro-op 2: 7f74c686f9a3	 Cacheblock Address: 7f725416f940
Micro-op 1: 7f74c686f990	Micro-op 2: 7f74c686f9ab	 Cacheblock Address: 7f725416f980
Micro-op 1: 7f74c686f549	Micro-op 2: 7f74c686f54d	 Cacheblock Address: 7f725416fa00
Micro-op 1: 7f74c6e25f66	Micro-op 2: 7f74c6e265e0	 Cacheblock Address: 7f725416fa40
Micro-op 1: 7f74c6e25f66	Micro-op 2: 7f74c6e25f24	 Cacheblock Address: 7f725416fa40
Micro-op 1: 7f74c6e25f2b	Micro-op 2: 7f74c6e25f2b	 Cacheblock Address: 7f74cccf8740
Micro-op 1: 7f74c6e25f66	Micro-op 2: 7f74c6e25f66	 Cacheblock Address: 7f725416fa40
Micro-op 1: 7f74c68709a8	Micro-op 2: 7f74c687090a	 Cacheblock Address: 7f74c8677940
Micro-op 1: 7f74c6e25a92	Micro-op 2: 7f74c6e25a92	 Cacheblock Address: 7f725416fac0
Micro-op 1: 7f74c6fca285	Micro-op 2: 7f74c6fca286	 Cacheblock Address: 7f725416f8c0
Micro-op 1: 7f74c6fca288	Micro-op 2: 7f74c6fca28a	 Cacheblock Address: 7f725416f8c0
Micro-op 1: 7f74c686fc8c	Micro-op 2: 7f74c6fca28c	 Cacheblock Address: 7f725416f900
Micro-op 1: 7f74c686fc8c	Micro-op 2: 7f74c6fca28d	 Cacheblock Address: 7f725416f900
Micro-op 1: 7f74c686fc8c	Micro-op 2: 7f74c6e25c00	 Cacheblock Address: 7f725416f900
Micro-op 1: 7f74c6e25bcb	Micro-op 2: 7f74c6e25c0e	 Cacheblock Address: 7f74c82a5fc0
Micro-op 1: 7f74c686fc8c	Micro-op 2: 7f74c6e25c11	 Cacheblock Address: 7f725416f900
