Scarab gitrev: 988ee1c
Scarab started at Sun Mar 23 12:51:07 2025

Initialized Ramulator. 
Micro-op 1: 7f34ea650f8e	Micro-op 2: 7f34ea650f8e	 Cacheblock Address: 7f34ea67db00
Micro-op 1: 7f34ea650f62	Micro-op 2: 7f34ea650edf	 Cacheblock Address: 7f34ea67da40
Micro-op 1: 7f34ea650f0f	Micro-op 2: 7f34ea650f0f	 Cacheblock Address: 7f34ea67dac0
Micro-op 1: 7f34ea650f2b	Micro-op 2: 7f34ea650f2b	 Cacheblock Address: 7f34ea67cf40
Micro-op 1: 7f34ea650fa8	Micro-op 2: 7f34ea650fa8	 Cacheblock Address: 7f34ea67db00
Micro-op 1: 7f34ea650f4b	Micro-op 2: 7f34ea6510b9	 Cacheblock Address: 7f34ea67cf00
Micro-op 1: 7f34ea650f62	Micro-op 2: 7f34ea6510bd	 Cacheblock Address: 7f34ea67da40
Micro-op 1: 7f34ea650f74	Micro-op 2: 7f34ea6510c4	 Cacheblock Address: 7f34ea67db40
Micro-op 1: 7f34ea650f4b	Micro-op 2: 7f34ea6510cb	 Cacheblock Address: 7f34ea67cf00
Micro-op 1: 7f34ea6510ef	Micro-op 2: 7f34ea6510ef	 Cacheblock Address: 7f34ea67da00
Micro-op 1: 7f34ea650edb	Micro-op 2: 7f34ea651100	 Cacheblock Address: 7f34ea67cec0
Micro-op 1: 7f34ea650f4b	Micro-op 2: 7f34ea651104	 Cacheblock Address: 7f34ea67cf00
Micro-op 1: 7f34ea650f62	Micro-op 2: 7f34ea651115	 Cacheblock Address: 7f34ea67da40
Micro-op 1: 7f34ea650ecb	Micro-op 2: 7f34ea65111c	 Cacheblock Address: 7f34ea67ce80
Micro-op 1: 7f34ea651128	Micro-op 2: 7f34ea65112e	 Cacheblock Address: 7f34ea64fb00
Micro-op 1: 7f34ea651138	Micro-op 2: 7f34ea651128	 Cacheblock Address: 7f34ea64fb00
Micro-op 1: 7f34ea651138	Micro-op 2: 7f34ea651138	 Cacheblock Address: 7f34ea64fb40
