Scarab gitrev: 988ee1c
Scarab started at Sun Mar 23 12:42:56 2025

Initialized Ramulator. 
Micro-op 1: 7f71818781c7	Micro-op 2: 7f71818781e7	 Cacheblock Address: 7fff1ea3e640
Micro-op 1: 7f71818774dd	Micro-op 2: 7f71818774ea	 Cacheblock Address: 7fff1ea3e600
Micro-op 1: 7f71818774d4	Micro-op 2: 7f7181877512	 Cacheblock Address: 7f718189b440
Micro-op 1: 7f71818775db	Micro-op 2: 7f71818775db	 Cacheblock Address: 7f718189b480
Micro-op 1: 7f7181877555	Micro-op 2: 7f7181877562	 Cacheblock Address: 7f717d85af00
Micro-op 1: 7f7181877530	Micro-op 2: 7f718187756a	 Cacheblock Address: 7f718189b480
Micro-op 1: 7f71818775db	Micro-op 2: 7f718187757f	 Cacheblock Address: 7f718189b480
Micro-op 1: 7f718187757a	Micro-op 2: 7f7181877585	 Cacheblock Address: 7fff1ea3e540
Micro-op 1: 7f71818775db	Micro-op 2: 7f7181877589	 Cacheblock Address: 7f718189b480
Micro-op 1: 7f71818775bf	Micro-op 2: 7f71818775bf	 Cacheblock Address: 7f717e184a80
Micro-op 1: 7f71818775e4	Micro-op 2: 7f71818775e4	 Cacheblock Address: 7f7181899600
Micro-op 1: 7f7181877545	Micro-op 2: 7f718187755e	 Cacheblock Address: 7f7181e65040
Micro-op 1: 7f718187757a	Micro-op 2: 7f718187757a	 Cacheblock Address: 7fff1ea3e540
Micro-op 1: 7f71818775c4	Micro-op 2: 7f71818775c4	 Cacheblock Address: 7f718189aa00
Micro-op 1: 7f7181877530	Micro-op 2: 7f7181877530	 Cacheblock Address: 7f718189acc0
Micro-op 1: 7f7181877545	Micro-op 2: 7f7181877545	 Cacheblock Address: 7f718189aa40
Micro-op 1: 7f7181877555	Micro-op 2: 7f7181877555	 Cacheblock Address: 7f7181899e80
Micro-op 1: 7f718187758f	Micro-op 2: 7f718187758f	 Cacheblock Address: 7f718186c3c0
Micro-op 1: 7f71818777b8	Micro-op 2: 7f71818777ca	 Cacheblock Address: 7f718189acc0
Micro-op 1: 7f71818777db	Micro-op 2: 7f71818777f4	 Cacheblock Address: 7fff1ea3e600
Micro-op 1: 7f718187782d	Micro-op 2: 7f718187782d	 Cacheblock Address: 7f718186c480
Micro-op 1: 7f718187784c	Micro-op 2: 7f7181877867	 Cacheblock Address: 7fff1ea3e540
Micro-op 1: 7f718187786c	Micro-op 2: 7f7181877879	 Cacheblock Address: 7fff1ea3e540
Micro-op 1: 7f718187733a	Micro-op 2: 7f7181877344	 Cacheblock Address: 7f718186c740
Micro-op 1: 7f7181877355	Micro-op 2: 7f7181877386	 Cacheblock Address: 7f718186c740
Micro-op 1: 7f718187734d	Micro-op 2: 7f718187738b	 Cacheblock Address: 7fff1ea3e500
Micro-op 1: 7f718188c784	Micro-op 2: 7f718188c7b0	 Cacheblock Address: 7f718186c8c0
Micro-op 1: 7f7181877871	Micro-op 2: 7f71818774dd	 Cacheblock Address: 7fff1ea3e600
Micro-op 1: 7f718187750b	Micro-op 2: 7f718187750b	 Cacheblock Address: 7fff1ea3e600
Micro-op 1: 7f71818773c8	Micro-op 2: 7f71818777b8	 Cacheblock Address: 7f718189acc0
Micro-op 1: 7f71818777bf	Micro-op 2: 7f71818777bf	 Cacheblock Address: 7f718186c400
