Scarab gitrev: 25b3c1d
Failed to load binaries: Failed to map module /simpoint_traces/gcc/traces_simp/bin/cc1 Check that module.log references the correct binary paths.Scarab started at Sun Mar 23 03:21:33 2025

Initialized Ramulator. 
Op1 PC: 7f34ea650f74	 Op2 PC: 7f34ea6510c4	 Op1 Cacheblock: 7f34ea67db40	 Op2 Cacheblock: 7f34ea67db40	 Op1 Offset: 32	 Op2 offset: 48	 Op1 base reg: 0	Op2 base reg: 0
Op1 PC: 7f34ea650f4b	 Op2 PC: 7f34ea6510cb	 Op1 Cacheblock: 7f34ea67cf00	 Op2 Cacheblock: 7f34ea67cf00	 Op1 Offset: 0	 Op2 offset: 48	 Op1 base reg: 4	Op2 base reg: 1
Op1 PC: 7f34ea6510ef	 Op2 PC: 7f34ea6510ef	 Op1 Cacheblock: 7f34ea67da00	 Op2 Cacheblock: 7f34ea67da00	 Op1 Offset: 56	 Op2 offset: 56	 Op1 base reg: 0	Op2 base reg: 0
Op1 PC: 7f34ea650edb	 Op2 PC: 7f34ea651100	 Op1 Cacheblock: 7f34ea67cec0	 Op2 Cacheblock: 7f34ea67cec0	 Op1 Offset: 32	 Op2 offset: 48	 Op1 base reg: 1	Op2 base reg: 4
Op1 PC: 7f34ea650f4b	 Op2 PC: 7f34ea651104	 Op1 Cacheblock: 7f34ea67cf00	 Op2 Cacheblock: 7f34ea67cf00	 Op1 Offset: 0	 Op2 offset: 16	 Op1 base reg: 4	Op2 base reg: 9
Op1 PC: 7f34ea650f62	 Op2 PC: 7f34ea651115	 Op1 Cacheblock: 7f34ea67da40	 Op2 Cacheblock: 7f34ea67da40	 Op1 Offset: 48	 Op2 offset: 24	 Op1 base reg: 0	Op2 base reg: 0
Op1 PC: 7f34ea650ecb	 Op2 PC: 7f34ea65111c	 Op1 Cacheblock: 7f34ea67ce80	 Op2 Cacheblock: 7f34ea67ce80	 Op1 Offset: 0	 Op2 offset: 48	 Op1 base reg: 1	Op2 base reg: 4
Op1 PC: 7f34ea651128	 Op2 PC: 7f34ea65112e	 Op1 Cacheblock: 7f34ea64fb00	 Op2 Cacheblock: 7f34ea64fb00	 Op1 Offset: 0	 Op2 offset: 8	 Op1 base reg: 1	Op2 base reg: 1
Op1 PC: 7f34ea651138	 Op2 PC: 7f34ea651128	 Op1 Cacheblock: 7f34ea64fb00	 Op2 Cacheblock: 7f34ea64fb00	 Op1 Offset: 16	 Op2 offset: 24	 Op1 base reg: 1	Op2 base reg: 1
Op1 PC: 7f34ea651138	 Op2 PC: 7f34ea651138	 Op1 Cacheblock: 7f34ea64fb40	 Op2 Cacheblock: 7f34ea64fb40	 Op1 Offset: 0	 Op2 offset: 24	 Op1 base reg: 1	Op2 base reg: 1
