Scarab gitrev: 25b3c1d
Failed to load binaries: Failed to map module /simpoint_traces/clang/traces_simp/bin/libdrmemtrace.so Check that module.log references the correct binary paths.Scarab started at Sun Mar 23 03:08:14 2025

Initialized Ramulator. 
Op1 PC: 7ffff7daa11c	 Op2 PC: 7ffff7da9ecb	 Op1 Cacheblock: 7ffff7dd5e80	 Op2 Cacheblock: 7ffff7dd5e80	 Op1 Offset: 48	 Op2 offset: 0	 Op1 base reg: 4	Op2 base reg: 1
Op1 PC: 7ffff7da9f0f	 Op2 PC: 7ffff7da9f0f	 Op1 Cacheblock: 7ffff7dd6ac0	 Op2 Cacheblock: 7ffff7dd6ac0	 Op1 Offset: 32	 Op2 offset: 32	 Op1 base reg: 0	Op2 base reg: 0
Op1 PC: 7ffff7da9f2b	 Op2 PC: 7ffff7da9f2b	 Op1 Cacheblock: 7ffff7dd5f40	 Op2 Cacheblock: 7ffff7dd5f40	 Op1 Offset: 48	 Op2 offset: 48	 Op1 base reg: 1	Op2 base reg: 1
Op1 PC: 7ffff7da9fa8	 Op2 PC: 7ffff7da9fa8	 Op1 Cacheblock: 7ffff7dd6b00	 Op2 Cacheblock: 7ffff7dd6b00	 Op1 Offset: 16	 Op2 offset: 16	 Op1 base reg: 0	Op2 base reg: 0
Op1 PC: 7ffff7da9fb6	 Op2 PC: 7ffff7da9fb6	 Op1 Cacheblock: 7ffff7dd6a80	 Op2 Cacheblock: 7ffff7dd6a80	 Op1 Offset: 32	 Op2 offset: 32	 Op1 base reg: 0	Op2 base reg: 0
Op1 PC: 7ffff7da9f4b	 Op2 PC: 7ffff7daa0b9	 Op1 Cacheblock: 7ffff7dd5f00	 Op2 Cacheblock: 7ffff7dd5f00	 Op1 Offset: 0	 Op2 offset: 32	 Op1 base reg: 4	Op2 base reg: 1
Op1 PC: 7ffff7da9f62	 Op2 PC: 7ffff7daa0bd	 Op1 Cacheblock: 7ffff7dd6a40	 Op2 Cacheblock: 7ffff7dd6a40	 Op1 Offset: 48	 Op2 offset: 40	 Op1 base reg: 0	Op2 base reg: 0
Op1 PC: 7ffff7daa0c4	 Op2 PC: 7ffff7daa0c4	 Op1 Cacheblock: 7ffff7dd6b40	 Op2 Cacheblock: 7ffff7dd6b40	 Op1 Offset: 48	 Op2 offset: 48	 Op1 base reg: 0	Op2 base reg: 0
Op1 PC: 7ffff7daa0de	 Op2 PC: 7ffff7daa0de	 Op1 Cacheblock: 7ffff7dd5f80	 Op2 Cacheblock: 7ffff7dd5f80	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 9	Op2 base reg: 9
Op1 PC: 7ffff7daa11c	 Op2 PC: 7ffff7daa11c	 Op1 Cacheblock: 7ffff7dd5e80	 Op2 Cacheblock: 7ffff7dd5e80	 Op1 Offset: 48	 Op2 offset: 48	 Op1 base reg: 4	Op2 base reg: 4
Op1 PC: 7ffff7daa1ba	 Op2 PC: 7ffff7daa1b0	 Op1 Cacheblock: 7ffff7da85c0	 Op2 Cacheblock: 7ffff7da85c0	 Op1 Offset: 40	 Op2 offset: 36	 Op1 base reg: 4	Op2 base reg: 4
Op1 PC: 7ffff7daa1cd	 Op2 PC: 7ffff7daa1cd	 Op1 Cacheblock: 7ffff7dd69c0	 Op2 Cacheblock: 7ffff7dd69c0	 Op1 Offset: 40	 Op2 offset: 40	 Op1 base reg: 0	Op2 base reg: 0
Op1 PC: 7ffff7daa187	 Op2 PC: 7ffff7daa187	 Op1 Cacheblock: 7ffff7da8ec0	 Op2 Cacheblock: 7ffff7da8ec0	 Op1 Offset: 56	 Op2 offset: 56	 Op1 base reg: 2	Op2 base reg: 2
Op1 PC: 7ffff7daa1ba	 Op2 PC: 7ffff7daa1ba	 Op1 Cacheblock: 7ffff7da85c0	 Op2 Cacheblock: 7ffff7da85c0	 Op1 Offset: 40	 Op2 offset: 40	 Op1 base reg: 4	Op2 base reg: 4
Op1 PC: 7ffff7daa260	 Op2 PC: 7ffff7daa260	 Op1 Cacheblock: 7ffff7da8f00	 Op2 Cacheblock: 7ffff7da8f00	 Op1 Offset: 0	 Op2 offset: 24	 Op1 base reg: 2	Op2 base reg: 2
Op1 PC: 7ffff7da9f2f	 Op2 PC: 7ffff7db50b4	 Op1 Cacheblock: 7ffff7dd6c80	 Op2 Cacheblock: 7ffff7dd6c80	 Op1 Offset: 8	 Op2 offset: 8	 Op1 base reg: 0	Op2 base reg: 7
Op1 PC: 7ffff7daa11c	 Op2 PC: 7ffff7db50c0	 Op1 Cacheblock: 7ffff7dd5e80	 Op2 Cacheblock: 7ffff7dd5e80	 Op1 Offset: 48	 Op2 offset: 16	 Op1 base reg: 4	Op2 base reg: 1
Op1 PC: 7ffff7db50c4	 Op2 PC: 7ffff7db50cc	 Op1 Cacheblock: 7ffff7da83c0	 Op2 Cacheblock: 7ffff7da83c0	 Op1 Offset: 8	 Op2 offset: 16	 Op1 base reg: 3	Op2 base reg: 3
Op1 PC: 7ffff7db50cf	 Op2 PC: 7ffff7db50eb	 Op1 Cacheblock: 7ffff7da83c0	 Op2 Cacheblock: 7ffff7da83c0	 Op1 Offset: 12	 Op2 offset: 20	 Op1 base reg: 3	Op2 base reg: 3
Op1 PC: 7ffff7dc473e	 Op2 PC: 7ffff7dc474b	 Op1 Cacheblock: 7fffffffd200	 Op2 Cacheblock: 7fffffffd200	 Op1 Offset: 48	 Op2 offset: 56	 Op1 base reg: 7	Op2 base reg: 1
