Scarab gitrev: 3faa0e4
Failed to load binaries: Failed to map module /simpoint_traces/postgres/traces_simp/bin/libdrmemtrace.so Check that module.log references the correct binary paths.Scarab started at Sun Mar 23 02:39:19 2025

Initialized Ramulator. 
Op1 PC: 7f7181878196	 Op2 PC: 7f71818781c3	 Op1 Cacheblock: 7fff1ea3e640	 Op2 Cacheblock: 7fff1ea3e640	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 8	Op2 base reg: 8
Op1 PC: 7f718187816f	 Op2 PC: 7f71818781d5	 Op1 Cacheblock: 7fff1ea3e700	 Op2 Cacheblock: 7fff1ea3e700	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 8	Op2 base reg: 8
Op1 PC: 7f71818781c7	 Op2 PC: 7f71818781e7	 Op1 Cacheblock: 7fff1ea3e640	 Op2 Cacheblock: 7fff1ea3e640	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 8	Op2 base reg: 8
Op1 PC: 7f71818774dd	 Op2 PC: 7f71818774ea	 Op1 Cacheblock: 7fff1ea3e600	 Op2 Cacheblock: 7fff1ea3e600	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 8	Op2 base reg: 8
Op1 PC: 7f71818774d4	 Op2 PC: 7f7181877512	 Op1 Cacheblock: 7f718189b440	 Op2 Cacheblock: 7f718189b440	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 10	Op2 base reg: 10
Op1 PC: 7f71818775db	 Op2 PC: 7f71818775db	 Op1 Cacheblock: 7f718189b480	 Op2 Cacheblock: 7f718189b480	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 2	Op2 base reg: 2
Op1 PC: 7f7181877555	 Op2 PC: 7f7181877562	 Op1 Cacheblock: 7f717d85af00	 Op2 Cacheblock: 7f717d85af00	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 1	Op2 base reg: 1
Op1 PC: 7f7181877530	 Op2 PC: 7f718187756a	 Op1 Cacheblock: 7f718189b480	 Op2 Cacheblock: 7f718189b480	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 2	Op2 base reg: 2
Op1 PC: 7f71818775db	 Op2 PC: 7f718187757f	 Op1 Cacheblock: 7f718189b480	 Op2 Cacheblock: 7f718189b480	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 2	Op2 base reg: 2
Op1 PC: 7f718187757a	 Op2 PC: 7f7181877585	 Op1 Cacheblock: 7fff1ea3e540	 Op2 Cacheblock: 7fff1ea3e540	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 8	Op2 base reg: 8
Op1 PC: 7f71818775db	 Op2 PC: 7f7181877589	 Op1 Cacheblock: 7f718189b480	 Op2 Cacheblock: 7f718189b480	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 2	Op2 base reg: 2
Op1 PC: 7f71818775bf	 Op2 PC: 7f71818775bf	 Op1 Cacheblock: 7f717e184a80	 Op2 Cacheblock: 7f717e184a80	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 14	Op2 base reg: 14
Op1 PC: 7f71818775e4	 Op2 PC: 7f71818775e4	 Op1 Cacheblock: 7f7181899600	 Op2 Cacheblock: 7f7181899600	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 0	Op2 base reg: 0
Op1 PC: 7f7181877545	 Op2 PC: 7f718187755e	 Op1 Cacheblock: 7f7181e65040	 Op2 Cacheblock: 7f7181e65040	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 2	Op2 base reg: 2
Op1 PC: 7f718187757a	 Op2 PC: 7f718187757a	 Op1 Cacheblock: 7fff1ea3e540	 Op2 Cacheblock: 7fff1ea3e540	 Op1 Offset: 0	 Op2 offset: 0	 Op1 base reg: 8	Op2 base reg: 8
