FT_UOP_CACHE_MISS_ICACHE_MISS_OFF_PATH_count, 208,         15371
FT_UOP_CACHE_MISS_ICACHE_MISS_OFF_PATH_total_count, 208,         15371

UOPS_SERVED_BY_ICACHE_ON_PATH_count, 209,      15943106
UOPS_SERVED_BY_ICACHE_ON_PATH_total_count, 209,      15943106

UOPS_SERVED_BY_UOP_CACHE_ON_PATH_count, 209,      22737429
UOPS_SERVED_BY_UOP_CACHE_ON_PATH_total_count, 209,      22737429

UOPS_SERVED_BY_ICACHE_OFF_PATH_count, 210,       3240605
UOPS_SERVED_BY_ICACHE_OFF_PATH_total_count, 210,       3240605

UOPS_SERVED_BY_UOP_CACHE_OFF_PATH_count, 210,       5174468
UOPS_SERVED_BY_UOP_CACHE_OFF_PATH_total_count, 210,       5174468

UOP_CACHE_FT_INSERTED_ONPATH_USED_ONPATH_count, 0,        482259
UOP_CACHE_FT_INSERTED_ONPATH_USED_ONPATH_total_count, 0,        482259

UOP_CACHE_FT_INSERTED_OFFPATH_USED_ONPATH_count, 0,         53460
UOP_CACHE_FT_INSERTED_OFFPATH_USED_ONPATH_total_count, 0,         53460

UOP_CACHE_LINE_INSERTED_ONPATH_USED_ONPATH_count, 0,        720845
UOP_CACHE_LINE_INSERTED_ONPATH_USED_ONPATH_total_count, 0,        720845

UOP_CACHE_LINE_INSERTED_OFFPATH_USED_ONPATH_count, 0,         81439
UOP_CACHE_LINE_INSERTED_OFFPATH_USED_ONPATH_total_count, 0,         81439

UOP_CACHE_PREFETCH_count, 0,             0
UOP_CACHE_PREFETCH_total_count, 0,             0

UOP_CACHE_FT_INSERT_FAILED_INST_TOO_BIG_ON_PATH_count, 211,             0
UOP_CACHE_FT_INSERT_FAILED_INST_TOO_BIG_ON_PATH_total_count, 211,             0

UOP_CACHE_FT_INSERT_FAILED_FT_TOO_BIG_ON_PATH_count, 211,             0
UOP_CACHE_FT_INSERT_FAILED_FT_TOO_BIG_ON_PATH_total_count, 211,             0

UOP_CACHE_FT_SHORT_REUSE_CONFLICTED_ON_PATH_count, 211,        142760
UOP_CACHE_FT_SHORT_REUSE_CONFLICTED_ON_PATH_total_count, 211,        142760

UOP_CACHE_FT_INSERT_SUCCEEDED_ON_PATH_count, 211,       1954570
UOP_CACHE_FT_INSERT_SUCCEEDED_ON_PATH_total_count, 211,       1954570

UOP_CACHE_FT_INSERT_FAILED_INST_TOO_BIG_OFF_PATH_count, 212,             0
UOP_CACHE_FT_INSERT_FAILED_INST_TOO_BIG_OFF_PATH_total_count, 212,             0

UOP_CACHE_FT_INSERT_FAILED_FT_TOO_BIG_OFF_PATH_count, 212,             0
UOP_CACHE_FT_INSERT_FAILED_FT_TOO_BIG_OFF_PATH_total_count, 212,             0

UOP_CACHE_FT_SHORT_REUSE_CONFLICTED_OFF_PATH_count, 212,          5486
UOP_CACHE_FT_SHORT_REUSE_CONFLICTED_OFF_PATH_total_count, 212,          5486

UOP_CACHE_FT_INSERT_SUCCEEDED_OFF_PATH_count, 212,        107589
UOP_CACHE_FT_INSERT_SUCCEEDED_OFF_PATH_total_count, 212,        107589

UOP_CACHE_LINE_INSERT_FAILED_INST_TOO_BIG_ON_PATH_count, 213,             0
UOP_CACHE_LINE_INSERT_FAILED_INST_TOO_BIG_ON_PATH_total_count, 213,             0

UOP_CACHE_LINE_INSERT_FAILED_FT_TOO_BIG_ON_PATH_count, 213,             0
UOP_CACHE_LINE_INSERT_FAILED_FT_TOO_BIG_ON_PATH_total_count, 213,             0

UOP_CACHE_LINE_SHORT_REUSE_CONFLICTED_ON_PATH_count, 213,        181398
UOP_CACHE_LINE_SHORT_REUSE_CONFLICTED_ON_PATH_total_count, 213,        181398

UOP_CACHE_LINE_INSERT_SUCCEEDED_ON_PATH_count, 213,       2899509
UOP_CACHE_LINE_INSERT_SUCCEEDED_ON_PATH_total_count, 213,       2899509

